pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-28,94.7,-2.36,5.05,"Gipson-Long, Sawyer",686681,687830,field_out,hit_into_play,,,,,4,Michael Massey flies out to left fielder Matt Vierling.,R,L,R,DET,KC,X,7.0,fly_ball,1,2,2023,-0.88,1.22,-0.59,2.49,664728.0,669004.0,,2,5,Top,64.86,122.53,,,608348,,,6.720445984795687,-137.83502871522768,-3.827696471961657,-12.657094788470168,30.131681598621206,-15.978806100822446,3.54,1.7,244.0,88.9,50.0,96.9,2118,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,52.98,0.006,0.007,0.0,1.0,0.0,0.0,3.0,36,4,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,234,0.029,-0.379,,
FF,2023-09-28,94.8,-2.35,5.14,"Gipson-Long, Sawyer",686681,687830,,swinging_strike,,,,,11,Michael Massey flies out to left fielder Matt Vierling.,R,L,R,DET,KC,S,,,1,1,2023,-0.7,1.22,-1.12,2.82,664728.0,669004.0,,2,5,Top,,,,,608348,,,4.8983059505137705,-137.98263076430356,-3.1602578453931893,-10.093868874101192,32.26253506350971,-16.127526334947465,3.54,1.7,,,,96.5,2123,7.4,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.13,,,,,,,,36,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,222,0.0,-0.131,,
FF,2023-09-28,94.1,-2.42,5.1,"Gipson-Long, Sawyer",686681,687830,,ball,,,,,11,Michael Massey flies out to left fielder Matt Vierling.,R,L,R,DET,KC,B,,,0,1,2023,-0.72,1.39,-2.31,4.78,664728.0,669004.0,,2,5,Top,,,,,608348,,,1.9345656332795744,-137.1571552244368,1.7865621921453176,-9.545124607005825,28.663602752416285,-15.129428208918087,3.51,1.7,,,,96.5,2079,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.04,,,,,,,,36,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,223,0.0,0.002,,
FF,2023-09-28,94.3,-2.46,5.0,"Gipson-Long, Sawyer",686681,687830,,foul,,,,,1,Michael Massey flies out to left fielder Matt Vierling.,R,L,R,DET,KC,S,,,0,0,2023,-0.85,1.26,-0.34,2.97,664728.0,669004.0,,2,5,Top,,,,,608348,,,7.588964083897741,-137.1510594995492,-2.4604278151449006,-12.388136503271603,28.098726520272685,-15.80750323995239,3.54,1.7,201.0,73.3,44.0,96.6,2326,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.04,,,,,,,,36,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,231,0.0,-0.073,,
FF,2023-09-28,94.3,-2.35,5.11,"Gipson-Long, Sawyer",521692,687830,strikeout,swinging_strike,,,,,11,Salvador Perez strikes out swinging.,R,R,R,DET,KC,S,2.0,,0,2,2023,-0.77,1.39,-0.46,3.64,664728.0,669004.0,,1,5,Top,,,,,608348,,,6.766690214213692,-137.189845289318,-1.2137154540514437,-11.224429840483158,31.348944919885923,-14.589945238917212,3.51,1.59,,,,96.1,2243,7.4,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.09,,0.0,0.0,1.0,0.0,0.0,,35,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,228,0.041,-0.587,,
CH,2023-09-28,86.0,-2.38,5.01,"Gipson-Long, Sawyer",521692,687830,,swinging_strike,,,,,13,Salvador Perez strikes out swinging.,R,R,R,DET,KC,S,,,0,1,2023,-1.27,0.05,-0.15,0.99,664728.0,669004.0,,1,5,Top,,,,,608348,,,8.072634919547744,-124.97750066391576,-3.405128154416666,-14.98740993634512,25.80254547313504,-31.11988387656083,3.51,1.59,,,,87.8,1204,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,52.96,,,,,,,,35,2,Changeup,0,3,3,0,3,0,3,0,Strategic,Standard,255,0.0,-0.133,,
CH,2023-09-28,86.5,-2.48,5.1,"Gipson-Long, Sawyer",521692,687830,,foul,,,,,13,Salvador Perez strikes out swinging.,R,R,R,DET,KC,S,,,0,0,2023,-1.25,-0.14,-1.02,1.62,664728.0,669004.0,,1,5,Top,,,,,608348,,,6.178976167122937,-125.90568643493717,-1.863693987156271,-14.501724576628554,24.410119718604967,-33.50091925241147,3.51,1.59,0.0,32.6,-73.0,88.6,1313,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.02,,,,,,,,35,1,Changeup,0,3,3,0,3,0,3,0,Strategic,Standard,254,0.0,-0.07,,
SI,2023-09-28,91.5,-2.47,5.02,"Gipson-Long, Sawyer",677951,687830,field_out,hit_into_play,,,,,7,Bobby Witt Jr.  flies out to right fielder Kerry Carpenter.,R,R,R,DET,KC,X,9.0,fly_ball,3,1,2023,-1.33,0.52,-0.37,2.08,664728.0,669004.0,,0,5,Top,165.11,137.68,,,608348,,,8.348128045568895,-133.06718322215633,-2.7761880152341565,-17.52180372450485,26.26701924593786,-25.574490922654945,3.49,1.65,166.0,96.7,62.0,93.7,2056,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.04,0.031,0.037,0.0,1.0,0.0,0.0,3.0,34,5,Sinker,0,3,3,0,3,0,3,0,Strategic,Standard,232,0.025,-0.486,,
SL,2023-09-28,82.3,-2.41,5.13,"Gipson-Long, Sawyer",677951,687830,,ball,,,,,11,Bobby Witt Jr.  flies out to right fielder Kerry Carpenter.,R,R,R,DET,KC,B,,,2,1,2023,0.93,-0.44,-1.37,2.53,664728.0,669004.0,,0,5,Top,,,,,608348,,,0.5668069686638513,-119.85393232242576,1.4933016429497674,8.862088226279152,21.78522747466994,-36.94982360362025,3.36,1.62,,,,84.0,2642,7.2,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,53.3,,,,,,,,34,4,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,92,0.0,0.132,,
CH,2023-09-28,86.1,-2.29,5.05,"Gipson-Long, Sawyer",677951,687830,,ball,,,,,14,Bobby Witt Jr.  flies out to right fielder Kerry Carpenter.,R,R,R,DET,KC,B,,,1,1,2023,-1.12,0.06,0.83,0.71,664728.0,669004.0,,0,5,Top,,,,,608348,,,9.915327852759068,-125.06231706199058,-4.254605364025863,-13.779267913844311,24.584145431844508,-30.90245680246996,3.46,1.65,,,,88.0,1252,7.5,716401,687830,608348,663527,628451,686531,670097,663837,678009,681481,52.96,,,,,,,,34,3,Changeup,0,3,3,0,3,0,3,0,Strategic,Standard,256,0.0,-0.002,,
