pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2023-09-27,84.2,1.98,6.08,"Skubal, Tarik",658668,669373,field_out,hit_into_play,,,,,8,Edward Olivares lines out sharply to left fielder Akil Baddoo.,R,R,L,DET,KC,X,7.0,line_drive,1,2,2023,0.97,-0.09,-0.24,1.92,,,,2,4,Top,76.76,96.26,,,668670,,,-7.029257627479026,-122.3306026102458,-2.99368411788966,11.256536941023858,27.6861362450026,-32.58498435206665,3.58,1.72,283.0,100.9,13.0,83.1,1244.0,6.0,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.52,0.906,0.888,0.0,1.0,0.0,0.0,4.0,26,4,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,127.0,0.013,-0.074,,
CH,2023-09-27,82.5,1.8,6.19,"Skubal, Tarik",658668,669373,,called_strike,,,,,7,Edward Olivares lines out sharply to left fielder Akil Baddoo.,R,R,L,DET,KC,S,,,1,1,2023,1.26,0.31,-0.48,2.28,,,,2,4,Top,,,,,668670,,,-7.54955210116561,-119.81499122589182,-2.880620769170429,13.6510626038205,25.189700652814388,-28.85033222616445,3.6,1.76,,,,81.2,1711.0,5.7,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.75,,,,,,,,26,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,136.0,0.0,-0.027,,
FF,2023-09-27,95.7,1.58,6.13,"Skubal, Tarik",658668,669373,,called_strike,,,,,9,Edward Olivares lines out sharply to left fielder Akil Baddoo.,R,R,L,DET,KC,S,,,1,0,2023,0.59,1.35,0.49,1.77,,,,2,4,Top,,,,,668670,,,-4.205157401431679,-139.1053872332797,-8.936582093110651,8.570931627761288,29.829480182453796,-12.792850774705842,3.73,1.83,,,,95.9,2141.0,6.4,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.14,,,,,,,,26,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,144.0,0.0,-0.022,,
KC,2023-09-27,74.6,1.61,6.24,"Skubal, Tarik",658668,669373,,ball,,,,,13,Edward Olivares lines out sharply to left fielder Akil Baddoo.,R,R,L,DET,KC,B,,,0,0,2023,-0.66,-0.79,-1.36,1.95,,,,2,4,Top,,,,,668670,,,-4.923312391046547,-108.479924276152,-0.1728194555708524,-4.228786490821091,20.31310662020638,-38.58179637742686,3.63,1.81,,,,74.2,2242.0,6.2,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.33,,,,,,,,26,1,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,328.0,0.0,0.016,,
SI,2023-09-27,95.4,1.8,6.08,"Skubal, Tarik",676369,669373,strikeout,called_strike,,,,,4,Nelson Velazquez called out on strikes.,R,R,L,DET,KC,S,2.0,,1,2,2023,1.39,1.25,-0.35,2.51,,,,1,4,Top,,,,,668670,,,-8.77371987647051,-138.46053186649382,-6.4976997839163,19.92867953543826,34.18512819962809,-14.829810403324386,3.6,1.86,,,,94.9,2025.0,6.4,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.13,,0.0,0.0,1.0,0.0,0.0,,25,4,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,145.0,0.02,-0.119,,
FF,2023-09-27,96.7,1.79,6.24,"Skubal, Tarik",676369,669373,,ball,,,,,12,Nelson Velazquez called out on strikes.,R,R,L,DET,KC,B,,,0,2,2023,0.9,1.46,1.36,3.82,,,,1,4,Top,,,,,668670,,,-3.1941287184224088,-140.65745805990727,-4.116673568476407,12.663964583945011,38.49241855249056,-12.222706328529954,3.58,1.78,,,,95.7,2194.0,6.2,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.32,,,,,,,,25,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,150.0,0.0,0.012,,
CH,2023-09-27,83.8,1.93,6.13,"Skubal, Tarik",676369,669373,,swinging_strike,,,,,9,Nelson Velazquez called out on strikes.,R,R,L,DET,KC,S,,,0,1,2023,1.42,0.54,0.57,1.61,,,,1,4,Top,,,,,668670,,,-5.925196049502871,-121.73909550983484,-4.993147407485742,15.250142226168451,27.11957675133398,-25.97436608166704,3.46,1.72,,,,83.1,1747.0,6.2,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.26,,,,,,,,25,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,128.0,0.0,-0.036,,
SL,2023-09-27,87.0,1.95,6.1,"Skubal, Tarik",676369,669373,,swinging_strike,,,,,8,Nelson Velazquez called out on strikes.,R,R,L,DET,KC,S,,,0,0,2023,-0.21,0.55,0.26,1.65,,,,1,4,Top,,,,,668670,,,-3.62507539625995,-126.6456988777028,-5.661141660241514,-1.5348219520177842,25.720848333156194,-25.311632430154223,3.46,1.72,,,,87.2,1951.0,6.4,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.09,,,,,,,,25,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,153.0,0.0,-0.026,,
CH,2023-09-27,82.7,1.86,6.24,"Skubal, Tarik",521692,669373,field_out,hit_into_play,,,,,6,"Salvador Perez grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,L,DET,KC,X,5.0,ground_ball,1,0,2023,1.11,0.31,0.53,2.23,,,,0,4,Top,94.41,172.77,,,668670,,,-5.171066735993399,-120.27195501135544,-3.157241596199816,11.84584829825034,26.340452922776333,-28.728566985509623,3.51,1.59,3.0,75.2,-35.0,81.8,1567.0,6.0,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.5,0.066,0.045,0.0,1.0,0.0,0.0,2.0,24,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,134.0,0.028,-0.275,,
CH,2023-09-27,83.7,1.77,6.15,"Skubal, Tarik",521692,669373,,ball,,,,,14,"Salvador Perez grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,L,DET,KC,B,,,0,0,2023,1.43,0.43,0.37,0.83,,,,0,4,Top,,,,,668670,,,-5.986541374819788,-121.48297677300216,-6.530322265380279,15.3152058508099,27.32066431529165,-26.689779758362363,3.76,1.7,,,,82.5,1488.0,6.0,716414,669373,668670,679529,628451,663837,595879,668731,678009,681481,54.52,,,,,,,,24,1,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,127.0,0.0,0.036,,
