pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-29,95.6,-3.31,5.46,"Wingenter, Trey",664702,622259,field_out,hit_into_play,,,,,4,"Myles Straw grounds out, first baseman Spencer Torkelson to pitcher Trey Wingenter.",R,R,R,DET,CLE,X,3.0,ground_ball,0,0,2023,-0.91,0.96,-0.59,2.82,,677587.0,,2,5,Top,158.37,160.56,,,668670,,,9.334359385423712,-138.87580582829543,-3.53681688764509,-13.8930245761608,31.0584470752123,-19.07432842302436,3.39,1.6,18.0,73.2,-7.0,96.6,1919,7.0,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.54,0.057,0.065,0.0,1.0,0.0,0.0,2.0,47,1,4-Seam Fastball,4,7,7,4,7,4,7,4,Standard,Standard,218,0.018,-0.326,,
FF,2023-09-29,96.8,-3.53,5.47,"Wingenter, Trey",666310,622259,strikeout,foul_tip,,,,,11,Bo Naylor strikes out on a foul tip.,R,L,R,DET,CLE,S,2.0,,1,2,2023,-0.93,0.82,-1.76,2.78,,677587.0,,1,5,Top,,,,,668670,,,6.955587379811024,-140.793965525859,-3.5432046282792022,-14.005608982742926,32.28461669436063,-20.609979459083547,3.42,1.55,,,,97.8,1938,6.9,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.58,,0.0,0.0,1.0,0.0,0.0,,46,4,4-Seam Fastball,4,7,7,4,7,4,7,4,Standard,Standard,218,0.018,-0.251,,
SL,2023-09-29,83.7,-3.78,5.34,"Wingenter, Trey",666310,622259,,foul,,,,,1,Bo Naylor strikes out on a foul tip.,R,L,R,DET,CLE,S,,,1,1,2023,0.06,0.05,-0.56,2.94,,677587.0,,1,5,Top,,,,,668670,,,7.371840927870781,-121.7060653648831,0.8462285743644307,-0.9571336411973056,25.29805655994731,-32.087706034511925,3.42,1.55,211.0,85.1,54.0,84.1,1963,6.7,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.79,,,,,,,,46,3,Slider,4,7,7,4,7,4,7,4,Standard,Standard,46,0.0,-0.096,,
SL,2023-09-29,84.4,-3.58,5.34,"Wingenter, Trey",666310,622259,,swinging_strike,,,,,14,Bo Naylor strikes out on a foul tip.,R,L,R,DET,CLE,S,,,1,0,2023,0.03,-0.02,0.1,0.87,,677587.0,,1,5,Top,,,,,668670,,,8.587319579000818,-122.63867657710624,-3.9923054051726776,-1.3974934035947932,24.61025499872001,-31.789804207984595,3.42,1.55,,,,85.0,1934,6.8,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.7,,,,,,,,46,2,Slider,4,7,7,4,7,4,7,4,Standard,Standard,26,0.0,-0.059,,
SL,2023-09-29,84.2,-3.64,5.39,"Wingenter, Trey",666310,622259,,ball,,,,,13,Bo Naylor strikes out on a foul tip.,R,L,R,DET,CLE,B,,,0,0,2023,-0.09,-0.08,-1.0,1.98,,677587.0,,1,5,Top,,,,,668670,,,6.363979236208084,-122.47383472530024,-1.363894930226776,-2.155190482509275,24.36427885575501,-32.9347950764111,3.24,1.47,,,,85.0,1911,6.8,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.66,,,,,,,,46,1,Slider,4,7,7,4,7,4,7,4,Standard,Standard,38,0.0,0.042,,
FF,2023-09-29,95.1,-3.43,5.46,"Wingenter, Trey",677587,622259,double,hit_into_play,,,,,11,Brayan Rocchio doubles (6) on a line drive to center fielder Parker Meadows.,R,L,R,DET,CLE,X,8.0,line_drive,3,2,2023,-0.41,1.24,-0.15,3.36,,,,1,5,Top,147.4,56.84,,,668670,,,9.637951679222985,-138.20222700989777,-2.621165502848759,-7.475253158815866,31.97251163066948,-15.949156844925431,3.07,1.41,330.0,94.8,21.0,96.2,1942,7.1,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.44,0.251,0.305,1.25,1.0,1.0,1.0,3.0,45,10,4-Seam Fastball,4,7,7,4,7,4,7,4,Infield shade,Standard,218,-0.022,0.38,,
SL,2023-09-29,84.2,-3.67,5.29,"Wingenter, Trey",677587,622259,,ball,,,,,11,Brayan Rocchio doubles (6) on a line drive to center fielder Parker Meadows.,R,L,R,DET,CLE,B,,,2,2,2023,0.08,-0.09,-1.87,2.19,,,,1,5,Top,,,,,668670,,,4.057659707984583,-122.50816837151518,-0.6100747790551407,-0.069604758437315,25.53327762979576,-33.18987796660542,2.97,1.33,,,,84.8,2040,6.8,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.7,,,,,,,,45,9,Slider,4,7,7,4,7,4,7,4,Infield shade,Standard,46,0.0,0.059,,
FF,2023-09-29,96.8,-3.39,5.38,"Wingenter, Trey",677587,622259,,foul,,,,,13,Brayan Rocchio doubles (6) on a line drive to center fielder Parker Meadows.,R,L,R,DET,CLE,S,,,2,2,2023,-0.83,1.15,-1.44,1.64,,,,1,5,Top,,,,,668670,,,7.183891401571036,-140.66896942134835,-7.133831688646353,-12.611648635726958,32.74772378295438,-15.50387964849395,3.07,1.41,186.0,66.6,48.0,98.0,1991,7.1,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.4,,,,,,,,45,8,4-Seam Fastball,4,7,7,4,7,4,7,4,Infield shade,Standard,219,0.0,0.0,,
FF,2023-09-29,96.8,-3.35,5.45,"Wingenter, Trey",677587,622259,,foul,,,,,5,Brayan Rocchio doubles (6) on a line drive to center fielder Parker Meadows.,R,L,R,DET,CLE,S,,,2,2,2023,-0.54,1.28,-0.11,1.97,,,,1,5,Top,,,,,668670,,,10.013819350192325,-140.51401520492237,-6.741870039951471,-9.416541687342049,32.10425705070092,-13.809152495313816,3.07,1.41,166.0,78.4,65.0,98.0,1987,7.1,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.39,,,,,,,,45,7,4-Seam Fastball,4,7,7,4,7,4,7,4,Infield shade,Standard,218,0.0,0.0,,
SL,2023-09-29,83.6,-3.6,5.42,"Wingenter, Trey",677587,622259,,foul,,,,,11,Brayan Rocchio doubles (6) on a line drive to center fielder Parker Meadows.,R,L,R,DET,CLE,S,,,2,2,2023,0.11,-0.2,-1.07,2.87,,,,1,5,Top,,,,,668670,,,5.632694627469194,-121.56606169505098,0.9936411550308416,-0.0468425070096235,24.87365452100504,-34.55050116175199,3.07,1.41,268.0,86.5,28.0,83.9,1933,6.6,716395,622259,668670,679529,656716,663837,595879,668731,678009,681481,53.88,,,,,,,,45,6,Slider,4,7,7,4,7,4,7,4,Infield shade,Standard,43,0.0,0.0,,
