pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-30,91.7,1.27,5.85,"Holton, Tyler",664702,663947,walk,ball,,,,,2,Myles Straw walks.,R,R,L,DET,CLE,B,,,3,1,2023,0.14,1.33,-0.07,3.33,,,,1,7,Top,,,,,608348,,,-3.726738853837937,-133.48410732473,-3.3714413880250373,2.5545908792781247,29.66663903137437,-15.814546307969776,3.23,1.52,,,,92.1,2067.0,6.6,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.93,,0.695903,0.7,1.0,0.0,0.0,,53,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,151.0,-0.026,0.161,,
FF,2023-09-30,91.9,1.28,5.79,"Holton, Tyler",664702,663947,,called_strike,,,,,5,Myles Straw walks.,R,R,L,DET,CLE,S,,,3,0,2023,0.12,1.45,0.15,2.36,,,,1,7,Top,,,,,608348,,,-3.150573410669149,-133.65846636665296,-5.996316985804373,2.1140665092893216,30.73437127370882,-13.677940993598146,3.21,1.44,,,,92.2,2166.0,6.6,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.87,,,,,,,,53,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,152.0,0.0,-0.052,,
FF,2023-09-30,91.7,1.19,5.82,"Holton, Tyler",664702,663947,,ball,,,,,12,Myles Straw walks.,R,R,L,DET,CLE,B,,,2,0,2023,0.13,1.4,0.86,2.91,,,,1,7,Top,,,,,608348,,,-1.127594293440014,-133.54886808179913,-4.52547782748513,1.7957636590765345,30.34397385208721,-14.647426644908045,3.23,1.52,,,,91.9,2130.0,6.5,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.98,,,,,,,,53,3,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,148.0,0.0,0.09,,
CH,2023-09-30,82.8,1.6,5.45,"Holton, Tyler",664702,663947,,ball,,,,,13,Myles Straw walks.,R,R,L,DET,CLE,B,,,1,0,2023,1.29,0.19,-0.2,1.3,,,,1,7,Top,,,,,608348,,,-6.669603033812558,-120.44565887597676,-3.4200178539120323,13.859038496495808,22.04670316270816,-29.828414527642533,3.23,1.44,,,,83.4,1751.0,6.5,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.95,,,,,,,,53,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,99.0,0.0,0.042,,
FC,2023-09-30,88.5,1.3,5.79,"Holton, Tyler",664702,663947,,ball,,,,,14,Myles Straw walks.,R,R,L,DET,CLE,B,,,0,0,2023,-0.26,0.87,0.79,1.31,,,,1,7,Top,,,,,608348,,,-0.693911967236898,-128.93939802894744,-6.798810640950489,-2.8152850865149746,23.12843308040728,-21.372086128607567,3.23,1.47,,,,89.5,2339.0,6.5,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.95,,,,,,,,53,1,Cutter,3,0,0,3,0,3,0,3,Standard,Standard,168.0,0.0,0.025,,
FC,2023-09-30,87.9,1.31,5.89,"Holton, Tyler",660757,663947,field_out,hit_into_play,,,,,5,Oscar Gonzalez flies out sharply to center fielder Parker Meadows.,R,R,L,DET,CLE,X,8.0,fly_ball,0,1,2023,-0.35,0.79,0.12,2.91,,,,0,7,Top,115.55,35.88,,,608348,,,-2.1679896680845308,-128.1297752750392,-2.8629325896714106,-3.4963195224903303,22.805754670568174,-23.038535100057352,3.5,1.69,403.0,105.9,23.0,88.9,2371.0,6.5,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,54.0,0.914,1.661,0.0,1.0,0.0,0.0,6.0,52,2,Cutter,3,0,0,3,0,3,0,3,Strategic,Standard,171.0,0.022,-0.2,,
CH,2023-09-30,82.4,1.58,5.57,"Holton, Tyler",660757,663947,,called_strike,,,,,6,Oscar Gonzalez flies out sharply to center fielder Parker Meadows.,R,R,L,DET,CLE,S,,,0,0,2023,1.2,0.54,0.7,2.28,,,,0,7,Top,,,,,608348,,,-4.365528471075545,-119.97129243492664,-2.026802422384185,12.393895947510211,22.91247402077122,-26.775807824074157,3.53,1.61,,,,83.0,1671.0,6.7,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.85,,,,,,,,52,1,Changeup,3,0,0,3,0,3,0,3,Strategic,Standard,105.0,0.0,-0.038,,
FC,2023-09-30,88.3,1.23,5.76,"Holton, Tyler",677587,663947,force_out,hit_into_play,,,,,4,"Brayan Rocchio grounds into a force out, fielded by second baseman Andy Ibanez.   Andres Gimenez out at 2nd.",R,R,L,DET,CLE,X,4.0,ground_ball,3,2,2023,-0.41,0.7,-0.36,2.16,608070.0,,665926.0,2,6,Top,126.6,152.96,,,608348,,,-3.066306595515359,-128.652286972385,-4.199910149447633,-3.924809018558119,25.263823458429226,-23.79459852881817,3.06,1.39,40.0,64.8,2.0,89.1,2328.0,6.6,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.88,0.114,0.098,0.0,1.0,0.0,0.0,2.0,45,6,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,172.0,0.08,-0.556,,
FC,2023-09-30,87.6,1.2,5.82,"Holton, Tyler",677587,663947,,foul,,,,,1,"Brayan Rocchio grounds into a force out, fielded by second baseman Andy Ibanez.   Andres Gimenez out at 2nd.",R,R,L,DET,CLE,S,,,3,1,2023,-0.39,0.45,-0.68,2.67,608070.0,,665926.0,2,6,Top,,,,,608348,,,-3.740167359767129,-127.60890210739912,-2.487954862041673,-3.627094790153116,23.67959313632096,-26.976374111687832,3.06,1.39,148.0,57.1,42.0,88.5,2344.0,6.6,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.91,,,,,,,,45,5,Cutter,1,0,0,1,0,1,0,1,Standard,Standard,191.0,0.0,-0.106,,
FF,2023-09-30,91.6,1.24,5.75,"Holton, Tyler",677587,663947,,called_strike,,,,,1,"Brayan Rocchio grounds into a force out, fielded by second baseman Andy Ibanez.   Andres Gimenez out at 2nd.",R,R,L,DET,CLE,S,,,3,0,2023,0.31,1.14,-0.45,2.46,608070.0,,665926.0,2,6,Top,,,,,608348,,,-4.960897146922327,-133.39252787756695,-4.954247995579573,4.730592454558953,27.722278300299564,-17.700631884185935,2.9,1.26,,,,92.3,1964.0,6.6,716380,663947,608348,679529,628451,663837,656716,668731,678009,681481,53.93,,,,,,,,45,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,149.0,0.0,-0.103,,
