pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
KC,2024-08-16,83.1,-2.33,5.77,"Madris, Bligh",676632,543037,field_out,hit_into_play,,,,,5,"Bligh Madris grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.",R,L,R,DET,NYY,X,6.0,ground_ball,0,0,2024,0.69,-1.26,-0.2,2.36,,681481.0,663837.0,1,6,Bot,136.03,146.32,,,624431,,,3.5146317581045987,-120.83701517721164,1.2011198548727964,5.912878264879541,26.61135135818937,-44.91856316115844,3.47,1.63,43.0,86.7,0.0,82.3,2896,6.1,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.39,0.237,0.229,0.0,1.0,0.0,0.0,2.0,46,1,Knuckle Curve,0,2,0,2,2,0,0,2,Infield shade,Standard,39,-0.045,-0.598,69.61893,6.78139
FF,2024-08-16,94.6,-2.15,5.81,"Madris, Bligh",676632,543037,field_out,hit_into_play,,,,,5,Bligh Madris lines out to left fielder Alex Verdugo.,R,L,R,DET,NYY,X,7.0,line_drive,0,0,2024,-0.61,1.42,-0.17,2.67,,,,0,4,Bot,94.41,80.7,,,624431,,,6.504334197438991,-137.6469644843868,-5.6944948282809165,-9.089236488280076,28.83002431312239,-12.98723490056526,3.47,1.63,342.0,94.7,29.0,94.7,2426,6.2,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.26,0.231,0.408,0.0,1.0,0.0,0.0,5.0,29,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,208,-0.03,-0.227,71.11704,6.8172
SL,2024-08-16,87.3,-2.26,5.81,"Madris, Bligh",676632,543037,strikeout,called_strike,,,,,9,Bligh Madris called out on strikes.,R,L,R,DET,NYY,S,2.0,,3,2,2024,0.58,0.02,0.75,1.66,,,,0,2,Bot,,,,,624431,,,6.048577046458051,-127.0944542075071,-3.923295963171921,5.168757879940042,23.88081494099192,-31.42307469555172,3.44,1.54,,,,87.6,2529,6.2,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.26,,0.0,0.0,1.0,0.0,0.0,,14,6,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,134,-0.025,-0.299,,
FF,2024-08-16,94.8,-2.31,5.76,"Madris, Bligh",676632,543037,,ball,,,,,11,Bligh Madris called out on strikes.,R,L,R,DET,NYY,B,,,2,2,2024,-0.76,1.42,-0.89,3.33,,,,0,2,Bot,,,,,624431,,,5.3714679894038735,-137.87382331356326,-3.8352975660188062,-10.867663592586714,31.25281253887702,-13.441574096906288,3.44,1.6,,,,94.3,2456,6.1,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.44,,,,,,,,14,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,214,0.0,0.096,,
FF,2024-08-16,94.3,-2.25,5.81,"Madris, Bligh",676632,543037,,foul,,,,,4,Bligh Madris called out on strikes.,R,L,R,DET,NYY,S,,,2,1,2024,-0.71,1.41,-0.46,2.43,,,,0,2,Bot,,,,,624431,,,6.217587905565957,-137.1124188825468,-6.170132672483253,-10.397141930679798,31.309256980230995,-13.272214245184871,3.47,1.63,201.0,74.9,56.0,93.8,2357,6.1,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.38,,,,,,,,14,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,213,0.0,-0.061,71.00127,7.28412
CH,2024-08-16,87.8,-2.25,5.77,"Madris, Bligh",676632,543037,,ball,,,,,13,Bligh Madris called out on strikes.,R,L,R,DET,NYY,B,,,1,1,2024,-1.08,0.83,-0.37,1.18,,,,0,2,Bot,,,,,624431,,,6.773730116945705,-127.65074547337746,-6.686488571211736,-13.19920429496312,24.97546087561623,-21.956769949817502,3.38,1.6,,,,87.6,1376,6.1,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.41,,,,,,,,14,3,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,222,0.0,0.047,,
CH,2024-08-16,86.3,-2.1,5.4,"Madris, Bligh",676632,592454,field_out,hit_into_play,,,,,8,Bligh Madris grounds out to first baseman DJ LeMahieu.,R,L,R,DET,NYY,X,3.0,ground_ball,1,2,2024,-0.75,-0.33,0.22,1.57,,,,2,8,Bot,156.34,168.7,,,624431,,,7.099020061409901,-125.59664248709382,-2.2668078566071417,-9.283921633431364,23.77246153096431,-35.41304440843324,3.47,1.63,21.0,89.5,-3.0,87.1,1107,6.7,746438,592454,624431,518934,650402,672724,683011,657077,592450,665742,53.83,0.203,0.207,0.0,1.0,0.0,0.0,2.0,63,4,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,254,-0.008,-0.069,70.80244,7.78827
SL,2024-08-16,85.9,-2.3,5.88,"Madris, Bligh",676632,543037,,ball,,,,,14,Bligh Madris called out on strikes.,R,L,R,DET,NYY,B,,,0,1,2024,0.37,-0.03,0.13,1.01,,,,0,2,Bot,,,,,624431,,,4.967274925208749,-125.0427077534907,-5.208008899923778,2.8725421354281795,24.459974446099977,-31.633194302385856,3.41,1.6,,,,85.5,2535,5.9,746438,543037,624431,518934,650402,672724,683011,657077,592450,665742,54.55,,,,,,,,14,2,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,134,0.0,0.023,,
CH,2024-08-16,86.3,-1.9,5.48,"Madris, Bligh",676632,592454,,called_strike,,,,,3,Bligh Madris grounds out to first baseman DJ LeMahieu.,R,L,R,DET,NYY,S,,,1,1,2024,-0.57,0.33,0.67,3.26,,,,2,8,Bot,,,,,624431,,,7.320613029047475,-125.62606565185772,0.2157992719604921,-7.435524874000079,22.53050500751914,-28.93106236230156,3.4,1.6,,,,87.3,1099,6.6,746438,592454,624431,518934,650402,672724,683011,657077,592450,665742,53.85,,,,,,,,63,3,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,253,0.0,-0.025,,
CH,2024-08-16,86.9,-2.18,5.37,"Madris, Bligh",676632,592454,,foul,,,,,5,Bligh Madris grounds out to first baseman DJ LeMahieu.,R,L,R,DET,NYY,S,,,1,0,2024,-1.03,0.15,0.01,2.24,,,,2,8,Bot,,,,,624431,,,7.394727590445785,-126.34881254123796,-1.6495035550407726,-12.45422421002554,24.35611072240432,-30.451488787420228,3.47,1.63,,,,87.6,1337,6.7,746438,592454,624431,518934,650402,672724,683011,657077,592450,665742,53.83,,,,,,,,63,2,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,254,0.0,-0.02,66.72662,8.42993
