pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2024-09-29,89.8,-2.33,5.73,"Keith, Colt",690993,686563,field_out,hit_into_play,,,,,5.0,Colt Keith pops out to third baseman Miguel Vargas.,R,L,R,DET,CWS,X,5.0,popup,1,1,2024,-0.2,0.81,-0.22,2.71,,,,0,5,Bot,96.44,146.32,,,686676,,,5.641655554982562,-130.80731307100174,-3.257135471774115,-3.390120243154102,25.39493545508337,-22.32540008142699,3.42,1.69,168.0,92.0,66.0,90.0,2297.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.32,0.014,0.017,0.0,1.0,0.0,0.0,3.0,39,3,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,222.0,-0.013,-0.217,76.16505,6.9588
CH,2024-09-29,84.6,-2.24,5.52,"Keith, Colt",690993,686563,,ball,,,,,13.0,Colt Keith pops out to third baseman Miguel Vargas.,R,L,R,DET,CWS,B,,,0,1,2024,-1.26,-0.25,-1.29,1.09,,,,0,5,Bot,,,,,686676,,,4.70841084354002,-123.0535651815092,-3.451669937399533,-13.77013596814894,24.935820863777067,-34.22552413785674,3.17,1.62,,,,84.4,1565.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.29,,,,,,,,39,2,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,247.0,0.0,0.023,,
ST,2024-09-29,82.9,-2.37,5.56,"Keith, Colt",690993,686563,,called_strike,,,,,8.0,Colt Keith pops out to third baseman Miguel Vargas.,R,L,R,DET,CWS,S,,,0,0,2024,0.41,0.57,0.03,2.06,,,,0,5,Bot,,,,,686676,,,4.658360631366389,-120.78514056803796,-2.69956649185719,3.2449444841566866,21.717213439001245,-26.283021151695998,3.2,1.62,,,,83.1,2463.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.31,,,,,,,,39,1,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,66.0,0.0,-0.033,,
FF,2024-09-29,90.6,-2.57,5.73,"Keith, Colt",690993,686563,field_out,hit_into_play,,,,,1.0,Colt Keith flies out to left fielder Zach DeLoach.,R,L,R,DET,CWS,X,7.0,fly_ball,1,0,2024,-0.75,1.29,-0.39,3.11,,,672761.0,1,2,Bot,98.27,108.32,,,686676,,,7.009630461030684,-131.84647084440994,-3.377090133187811,-10.174155299321145,26.76702907005231,-16.598741098283973,3.42,1.69,238.0,95.5,58.0,90.4,2149.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.42,0.029,0.034,0.0,1.0,0.0,0.0,3.0,15,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,229.0,-0.03,-0.343,76.43662,6.5655
FC,2024-09-29,90.5,-2.3,5.74,"Keith, Colt",690993,686563,,ball,,,,,14.0,Colt Keith flies out to left fielder Zach DeLoach.,R,L,R,DET,CWS,B,,,0,0,2024,-0.26,0.77,1.03,2.13,,,672761.0,1,2,Bot,,,,,686676,,,8.81879473403826,-131.47971089797267,-4.700843896625043,-4.847349503884343,26.224046075241663,-22.46993052163809,3.27,1.64,,,,90.3,2300.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.4,,,,,,,,15,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,219.0,0.0,0.043,,
FF,2024-09-28,94.5,-2.3,5.98,"Keith, Colt",690993,680732,field_out,hit_into_play,,,,,2.0,"Colt Keith grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,L,R,DET,CWS,X,6.0,ground_ball,1,0,2024,-0.81,1.5,0.25,3.12,,,,1,4,Bot,125.1,139.28,,,642020,,,8.523343066102722,-137.26843271900972,-5.147281729661034,-12.134922264960158,30.933142906517595,-12.254359660838166,3.42,1.68,15.0,95.5,-11.0,95.3,2478.0,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.63,0.169,0.166,0.0,1.0,0.0,0.0,2.0,30,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,205.0,-0.022,-0.186,63.16235,5.14473
CH,2024-09-28,82.8,-2.4,5.86,"Keith, Colt",690993,680732,,ball,,,,,11.0,"Colt Keith grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,L,R,DET,CWS,B,,,0,0,2024,-1.4,0.68,-1.5,2.56,,,,1,4,Bot,,,,,642020,,,4.863045311333467,-120.52772192974024,-2.3992031692232607,-14.629465795696238,23.098153962238825,-25.3274655503907,3.35,1.72,,,,83.9,1784.0,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.53,,,,,,,,30,1,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,237.0,0.0,0.024,,
SL,2024-09-28,88.1,-2.59,5.94,"Keith, Colt",690993,680732,single,hit_into_play,,,,,12.0,Colt Keith singles on a line drive to center fielder Dominic Fletcher.,R,L,R,DET,CWS,X,8.0,line_drive,0,1,2024,0.05,0.79,0.39,3.55,,,,0,2,Bot,111.36,107.57,,,642020,,,7.203998630568625,-128.3374456596836,-1.4723391646097057,-0.7433679144798491,22.73220869455897,-23.24928686422328,3.42,1.68,234.0,84.3,20.0,89.3,2373.0,6.7,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.83,0.769,0.731,0.9,1.0,1.0,0.0,4.0,12,2,Slider,0,1,0,1,1,0,0,1,Standard,Standard,192.0,0.041,0.435,66.09597,5.20922
CU,2024-09-28,78.5,-2.19,6.1,"Keith, Colt",690993,680732,,foul,,,,,5.0,Colt Keith singles on a line drive to center fielder Dominic Fletcher.,R,L,R,DET,CWS,S,,,0,0,2024,0.33,-1.33,0.02,2.43,,,,0,2,Bot,,,,,642020,,,4.207455337587591,-114.23598025378978,1.4704264950299013,1.9866918749120257,23.19215558570054,-44.25841193982932,3.42,1.68,3.0,75.7,-41.0,78.9,2500.0,6.8,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.69,,,,,,,,12,1,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,34.0,0.0,-0.033,69.89298,6.95285
FF,2024-09-28,94.7,-2.79,5.65,"Keith, Colt",690993,647336,strikeout,swinging_strike,,,,,12.0,Colt Keith strikes out swinging.,R,L,R,DET,CWS,S,2.0,,0,2,2024,-0.68,1.28,0.49,3.66,,,,0,7,Bot,,,,,642020,,,10.058977960683617,-137.65306735775897,-2.382771736892816,-10.69579617855154,28.072494001128952,-15.52098717834748,3.42,1.68,,,,94.8,2607.0,6.2,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.29,,0.0,0.0,1.0,0.0,0.0,,51,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,219.0,-0.038,-0.146,63.36336,4.56252
