pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-09-28,84.8,-2.34,5.88,"Dingler, Dillon",693307,680732,double,hit_into_play,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,X,,ground_ball,3,1,2024,0.47,0.42,0.31,1.2,,,,2,5,Bot,74.43,155.71,,,642020,,,5.329632271948801,-123.45913454112562,-5.566753401447284,3.822130672756935,22.48711659191169,-26.97742333144689,3.52,1.61,120.0,81.7,13.0,86.2,2299,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.55,0.637,0.614,1.25,1.0,1.0,1.0,4.0,37,5,Slider,0,1,0,1,1,0,0,1,Standard,Standard,183,0.035,0.176,70.29838,8.56838
CU,2024-09-28,79.0,-2.13,6.04,"Dingler, Dillon",693307,680732,,ball,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,2,1,2024,0.58,-1.12,0.58,0.41,,,,2,5,Bot,,,,,642020,,,4.875579066843956,-114.90098114151589,-3.3694594194255982,4.208713699163383,22.196642660667,-41.61467962894374,3.59,1.64,,,,79.7,2463,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.63,,,,,,,,37,4,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,27,0.0,0.043,,
FF,2024-09-28,94.8,-2.09,6.12,"Dingler, Dillon",693307,680732,,ball,,,,,12,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,1,1,2024,-0.63,1.54,0.23,4.16,,,,2,5,Bot,,,,,642020,,,7.553106436385682,-137.89012081087537,-2.9171444327699017,-9.696492586553008,30.826299704654748,-12.076630163204218,3.59,1.7,,,,95.8,2575,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.58,,,,,,,,37,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,206,0.0,0.023,,
FF,2024-09-28,94.2,-2.07,6.09,"Dingler, Dillon",693307,680732,,foul,,,,,6,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,S,,,1,0,2024,-0.43,1.51,0.59,2.8,,,,2,5,Bot,,,,,642020,,,7.949300258700106,-136.95019690916715,-6.272208796182951,-7.110840747634016,28.69279806171661,-11.880105186128777,3.52,1.61,236.0,81.9,56.0,95.4,2535,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.57,,,,,,,,37,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,201,0.0,-0.02,69.89851,7.81533
SL,2024-09-28,86.5,-2.42,5.79,"Dingler, Dillon",693307,680732,,ball,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,0,0,2024,0.39,0.69,1.26,-0.88,,,,2,5,Bot,,,,,642020,,,8.06044023725453,-125.4325157258652,-11.184903558946498,2.49952825116484,25.10536822152316,-22.79105958548493,3.51,1.64,,,,87.4,2441,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.49,,,,,,,,37,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,211,0.0,0.015,,
FF,2024-09-28,97.2,-2.0,6.16,"Dingler, Dillon",693307,680732,strikeout,swinging_strike,,,,,12,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,2.0,,2,2,2024,-0.47,1.59,0.28,3.87,,690993.0,690291.0,2,2,Bot,,,,,642020,,,7.285370358368818,-141.4366311307767,-4.340461951208462,-7.978782833840037,31.415147532103525,-9.983181640044355,3.52,1.61,,,,98.6,2545,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.46,,0.0,0.0,1.0,0.0,0.0,,16,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,197,-0.048,-0.328,67.17233,6.1828
FF,2024-09-28,95.9,-2.1,6.13,"Dingler, Dillon",693307,680732,,swinging_strike,,,,,11,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,,,2,1,2024,-0.42,1.51,-0.1,3.69,,690993.0,690291.0,2,2,Bot,,,,,642020,,,6.329909257577395,-139.5433377096963,-4.3562248472483,-6.871307005226125,29.71061512840749,-11.582687318982948,3.52,1.61,,,,97.4,2536,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.46,,,,,,,,16,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,202,0.0,-0.163,66.76742,5.99504
FF,2024-09-28,94.5,-2.06,6.08,"Dingler, Dillon",693307,680732,,foul,,,,,6,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,,,2,0,2024,-0.45,1.65,0.74,2.58,,690993.0,690291.0,2,2,Bot,,,,,642020,,,8.436860841216015,-137.34363732790715,-7.224446042250417,-7.550775564422003,29.21192463859528,-9.80201708590424,3.52,1.61,156.0,81.6,14.0,96.0,2580,7.1,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.38,,,,,,,,16,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,199,0.0,-0.066,74.41673,7.69958
FF,2024-09-28,96.0,-2.16,6.04,"Dingler, Dillon",693307,680732,,ball,,,,,12,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,B,,,1,0,2024,-0.27,1.64,1.25,3.25,,690993.0,690291.0,2,2,Bot,,,,,642020,,,9.755575175655334,-139.48204560918316,-5.539190601439588,-5.7764033445039535,31.31321753986111,-9.650132202606208,3.48,1.59,,,,96.9,2686,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.62,,,,,,,,16,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,204,0.0,0.068,,
SL,2024-09-28,87.7,-2.38,5.92,"Dingler, Dillon",693307,680732,,ball,,,,,14,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,B,,,0,0,2024,0.43,0.43,1.5,2.33,,690993.0,690291.0,2,2,Bot,,,,,642020,,,8.592462407967506,-127.64088840375476,-3.536438931997488,3.2081084702450284,23.190407519143893,-26.964479366630847,3.56,1.59,,,,89.0,2582,6.8,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.66,,,,,,,,16,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,161,0.0,0.041,,
