pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-09-29,84.6,-0.44,5.75,"Jung, Jace",690291,672860,walk,ball,,,,,11,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,3,2,2024,0.27,-0.04,-0.51,4.03,663837.0,,672761.0,2,8,Bot,,,,,686676,,,-0.6974484754022129,-123.35015561585742,2.2660917634458624,2.8698997324893325,21.16636473476829,-33.111306590555145,3.07,1.41,,,,84.7,2501,5.9,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.55,,0.689131,0.7,1.0,0.0,0.0,,76,6,Slider,4,9,4,9,9,4,4,9,Standard,Standard,96,0.016,0.299,,
SL,2024-09-29,85.5,-0.53,5.69,"Jung, Jace",690291,672860,,called_strike,,,,,5,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,S,,,3,1,2024,0.36,0.08,-0.23,2.28,663837.0,,672761.0,2,8,Bot,,,,,686676,,,-0.0193919912847208,-124.62376805261655,-1.9559376442529703,3.8223240233229,23.75483812454537,-31.193401696650195,2.94,1.39,,,,85.3,2316,5.9,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,76,5,Slider,4,9,4,9,9,4,4,9,Standard,Standard,130,0.0,-0.124,,
SL,2024-09-29,85.8,-0.55,5.76,"Jung, Jace",690291,672860,,ball,,,,,11,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,2,1,2024,0.38,-0.07,-1.21,3.94,663837.0,,672761.0,2,8,Bot,,,,,686676,,,-2.310166588590496,-125.02747972486016,1.9767804312463304,4.433968844634774,21.22386448128515,-33.41582379286834,3.02,1.36,,,,85.9,2468,5.9,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,76,4,Slider,4,9,4,9,9,4,4,9,Standard,Standard,100,0.0,0.162,,
FF,2024-09-29,96.8,-0.49,5.64,"Jung, Jace",690291,672860,,blocked_ball,,,,,14,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,1,1,2024,-0.54,1.49,0.04,0.25,663837.0,,672761.0,2,8,Bot,,,,,686676,,,2.660961008444436,-140.54949880263013,-12.228763647288233,-7.815713355729019,29.18952672867762,-9.93169834791431,3.15,1.39,,,,96.9,2379,6.3,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.2,,,,,,,,76,3,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,211,0.0,0.04,,
FF,2024-09-29,95.2,-0.48,5.71,"Jung, Jace",690291,672860,,foul,,,,,3,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,S,,,1,0,2024,-0.32,1.32,0.82,2.83,663837.0,,672761.0,2,8,Bot,,,,,686676,,,4.124271932612991,-138.62699943864828,-4.902201414025962,-5.045623384789541,28.3176478399241,-14.287586664558836,3.31,1.54,125.0,63.1,69.0,95.2,2073,6.0,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.46,,,,,,,,76,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.0,-0.076,72.62903,7.34893
FF,2024-09-29,95.7,-0.57,5.67,"Jung, Jace",690291,672860,,ball,,,,,11,Jace Jung walks.   Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,0,0,2024,-0.37,1.08,-0.75,3.87,663837.0,,672761.0,2,8,Bot,,,,,686676,,,0.363464987359972,-139.4282474704346,-1.6078248339894314,-4.985252419626754,29.406589393087028,-17.840734963074727,3.23,1.52,,,,95.8,1999,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.39,,,,,,,,76,1,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.0,0.05,,
SL,2024-09-28,84.4,-2.45,5.82,"Jung, Jace",690291,680732,field_out,hit_into_play,,,,,7,"Jace Jung grounds out, third baseman Miguel Vargas to first baseman Andrew Vaughn.",R,L,R,DET,CWS,X,5.0,ground_ball,1,1,2024,-0.11,0.35,-0.44,1.92,,,,0,5,Bot,109.33,157.1,,,642020,,,4.952518696311296,-122.91231321653156,-3.457814095892436,-2.113177934573448,23.627847167018665,-28.197331540621253,3.31,1.54,2.0,85.3,-36.0,85.3,2450,6.8,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.71,0.066,0.052,0.0,1.0,0.0,0.0,2.0,35,3,Slider,0,1,0,1,1,0,0,1,Standard,Standard,194,-0.034,-0.217,67.23338,6.46956
FF,2024-09-28,94.6,-2.25,5.97,"Jung, Jace",690291,680732,,ball,,,,,11,"Jace Jung grounds out, third baseman Miguel Vargas to first baseman Andrew Vaughn.",R,L,R,DET,CWS,B,,,0,1,2024,-0.9,1.29,-0.32,4.68,,,,0,5,Bot,,,,,642020,,,7.079230417603306,-137.56671075368607,-0.5271483729500744,-12.994368783373073,30.765458264464677,-15.941880359686058,3.28,1.57,,,,95.1,2616,6.7,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.84,,,,,,,,35,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,202,0.0,0.023,,
FF,2024-09-28,93.0,-2.17,5.91,"Jung, Jace",690291,680732,,called_strike,,,,,6,"Jace Jung grounds out, third baseman Miguel Vargas to first baseman Andrew Vaughn.",R,L,R,DET,CWS,S,,,0,0,2024,-0.78,1.54,0.38,2.22,,,,0,5,Bot,,,,,642020,,,8.343842055922249,-135.04005583086547,-7.128511780973862,-11.318625216636615,29.701213505337464,-11.90260075234383,3.33,1.59,,,,94.0,2541,7.0,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.47,,,,,,,,35,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,213,0.0,-0.033,,
SL,2024-09-28,88.9,-2.5,5.77,"Jung, Jace",690291,680732,walk,blocked_ball,,,,,14,Jace Jung walks.   Colt Keith to 2nd.,R,L,R,DET,CWS,B,,,3,1,2024,0.19,0.87,0.33,0.91,,,690993.0,1,2,Bot,,,,,642020,,,6.599585449950498,-129.24872323533623,-7.861407113277119,1.0048764295437034,23.20625885686132,-21.00882457997453,3.35,1.59,,,,90.4,2524,6.9,746414,680732,642020,683734,672820,678246,676070,643217,666150,676113,53.58,,0.689131,0.7,1.0,0.0,0.0,,14,5,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,214,0.04,0.199,,
