pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-09-28,82.6,-2.59,5.91,"Malloy, Justyn-Henry",669234,647336,strikeout,foul_tip,,,,,1,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,S,2.0,,3,2,2024,0.45,-0.32,-0.64,3.48,,,,2,8,Bot,,,,,642020,,,3.551169392135034,-120.4188635787381,1.4898834493955415,3.7786000610544352,20.46198993346832,-35.7805302980427,3.49,1.7,,,,82.8,2699.0,6.0,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.45,,0.0,0.0,1.0,0.0,0.0,,61,7,Slider,0,4,0,4,4,0,0,4,Standard,Standard,57.0,-0.004,-0.125,64.36292,5.73508
SL,2024-09-28,83.5,-2.65,5.93,"Malloy, Justyn-Henry",669234,647336,,foul,,,,,9,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,S,,,3,2,2024,0.5,-0.27,0.4,2.17,,,,2,8,Bot,,,,,642020,,,6.0102560643413,-121.54927119031316,-1.7239040643300214,3.8721942327996057,22.252536896884145,-34.708603416029305,3.49,1.7,90.0,73.4,7.0,83.2,2949.0,5.9,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.57,,,,,,,,61,6,Slider,0,4,0,4,4,0,0,4,Standard,Standard,54.0,0.0,0.0,60.70865,7.03566
FF,2024-09-28,96.0,-2.67,5.57,"Malloy, Justyn-Henry",669234,647336,,ball,,,,,14,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,B,,,2,2,2024,-0.56,1.28,1.35,2.29,,,,2,8,Bot,,,,,642020,,,11.885760015241312,-139.30027885873122,-5.991394877870779,-9.856128518643567,29.06217448171068,-14.230261428691838,3.41,1.7,,,,96.0,2665.0,6.3,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.22,,,,,,,,61,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,220.0,0.0,0.041,,
FF,2024-09-28,93.7,-2.64,5.72,"Malloy, Justyn-Henry",669234,647336,,foul,,,,,6,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,S,,,2,1,2024,-0.47,1.27,0.37,2.77,,,,2,8,Bot,,,,,642020,,,8.762503584354823,-136.24317235771016,-4.671436136533182,-7.774188327494739,29.396849813645783,-15.542384547432352,3.49,1.7,260.0,82.0,29.0,93.2,2617.0,6.0,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.51,,,,,,,,61,4,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,215.0,0.0,-0.032,69.17182,6.75658
FF,2024-09-28,95.1,-2.74,5.78,"Malloy, Justyn-Henry",669234,647336,,ball,,,,,12,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,B,,,1,1,2024,-0.4,1.3,1.18,3.9,,,,2,8,Bot,,,,,642020,,,11.099246646421786,-138.0734863548197,-2.1775011545769347,-7.589192123776718,29.814137687151472,-15.17059358806064,3.49,1.73,,,,94.5,2556.0,6.0,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.53,,,,,,,,61,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,217.0,0.0,0.023,,
SL,2024-09-28,81.6,-2.64,5.91,"Malloy, Justyn-Henry",669234,647336,,called_strike,,,,,8,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,S,,,1,0,2024,0.53,-0.67,-0.11,2.08,,,,2,8,Bot,,,,,642020,,,4.654618053658808,-118.86597871817996,-0.8022279340407182,4.164241158729717,21.97673801212629,-38.57737072906419,3.39,1.68,,,,81.3,2857.0,5.9,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.55,,,,,,,,61,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,49.0,0.0,-0.02,,
FF,2024-09-28,94.7,-2.74,5.77,"Malloy, Justyn-Henry",669234,647336,,ball,,,,,11,Justyn-Henry Malloy strikes out on a foul tip.,R,R,R,DET,CWS,B,,,0,0,2024,-0.35,1.29,-0.32,5.57,,,,2,8,Bot,,,,,642020,,,7.048281697259101,-137.71385970798494,2.265048335056989,-6.020954763602805,30.591286664350505,-16.52336540262855,3.46,1.8,,,,94.1,2558.0,6.0,746414,647336,642020,683734,672820,678246,676070,643217,666150,676113,54.55,,,,,,,,61,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,214.0,0.0,0.015,,
FC,2024-09-27,91.5,2.81,5.96,"Malloy, Justyn-Henry",669234,676979,strikeout,swinging_strike,,,,,13,Justyn-Henry Malloy strikes out swinging.,R,R,L,DET,CWS,S,2.0,,3,2,2024,-0.55,0.25,-1.0,2.11,,,682985.0,1,4,Bot,,,,,686676,,,-8.48578344229319,-133.16049014068247,-4.530823228009728,-5.141985376899863,23.72343480783847,-28.498679229478487,3.51,1.72,,,,92.9,2797.0,6.8,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.74,,0.0,0.0,1.0,0.0,0.0,,27,7,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,223.0,-0.034,-0.361,46.00135,5.8833
FC,2024-09-27,93.0,2.52,5.97,"Malloy, Justyn-Henry",669234,676979,,ball,,,,,7,Justyn-Henry Malloy strikes out swinging.,R,R,L,DET,CWS,B,,,2,2,2024,-0.59,0.32,-0.76,1.76,,,682985.0,1,4,Bot,,,,,686676,,,-7.196174489693946,-135.4136071069266,-5.898910897758919,-6.108467499891342,24.5229702967242,-27.21116528912786,3.42,1.63,,,,94.6,2783.0,6.8,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.71,,,,,,,,27,6,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,208.0,0.0,0.091,,
SI,2024-09-27,99.4,2.7,5.61,"Malloy, Justyn-Henry",669234,676979,,foul,,,,,8,Justyn-Henry Malloy strikes out swinging.,R,R,L,DET,CWS,S,,,2,2,2024,1.25,0.68,0.27,1.62,,,682985.0,1,4,Bot,,,,,686676,,,-9.710265304834635,-144.32423604244173,-7.202720663420316,19.7783027888618,32.989067426055094,-21.07855275808384,3.51,1.72,204.0,76.9,37.0,100.5,2514.0,7.0,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.51,,,,,,,,27,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,132.0,0.0,0.0,64.83843,7.02625
