pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-09-29,93.5,-2.23,5.78,"Vierling, Matt",663837,686563,field_out,hit_into_play,,,,,11.0,"Matt Vierling grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,R,R,DET,CWS,X,6.0,ground_ball,2,0,2024,-1.27,0.67,-0.97,2.64,,,,2,5,Bot,114.71,150.9,,,686676,,,6.011099646514888,-136.09750904800626,-3.8377606844529386,-17.065278703699505,28.22903882312869,-23.24816381011475,3.43,1.68,76.0,78.7,3.0,93.2,2182.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.53,0.229,0.264,0.0,1.0,0.0,0.0,2.0,45,3,Sinker,4,5,4,5,5,4,4,5,Standard,Standard,225.0,-0.016,-0.14,73.40834,6.82893
SI,2024-09-29,95.3,-1.98,5.82,"Vierling, Matt",663837,686563,,ball,,,,,14.0,"Matt Vierling grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,R,R,DET,CWS,B,,,1,0,2024,-1.3,0.74,1.24,2.02,,,,2,5,Bot,,,,,686676,,,11.313887693154934,-138.31141623202757,-6.01152027232781,-19.10173317276148,27.23170077487933,-21.4502628540671,3.38,1.59,,,,95.1,2226.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.46,,,,,,,,45,2,Sinker,4,5,4,5,5,4,4,5,Standard,Standard,225.0,0.0,0.026,,
ST,2024-09-29,85.9,-2.39,5.65,"Vierling, Matt",663837,686563,,ball,,,,,14.0,"Matt Vierling grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,R,R,DET,CWS,B,,,0,0,2024,0.41,0.56,1.09,2.09,,,,2,5,Bot,,,,,686676,,,7.395076911415697,-124.93186657403068,-3.353807197749504,2.9180901750260437,22.87923511011907,-25.828312228966325,3.46,1.59,,,,86.1,2662.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.27,,,,,,,,45,1,Sweeper,4,5,4,5,5,4,4,5,Standard,Standard,52.0,0.0,0.015,,
SI,2024-09-29,94.5,-2.18,5.89,"Vierling, Matt",663837,686563,strikeout,called_strike,,,,,9.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,S,2.0,,3,2,2024,-1.29,0.64,0.29,2.13,,,,0,4,Bot,,,,,686676,,,9.243493330549216,-137.37756146438446,-5.535981210046168,-18.36721588829477,28.49912521154397,-23.006795772711897,3.35,1.64,,,,94.2,2143.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.49,,0.0,0.0,1.0,0.0,0.0,,31,6,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,224.0,-0.013,-0.299,,
FC,2024-09-29,91.1,-2.21,5.84,"Vierling, Matt",663837,686563,,foul,,,,,2.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,S,,,3,1,2024,0.04,0.8,0.17,3.22,,,,0,4,Bot,,,,,686676,,,5.8828073860420655,-132.65520437842738,-2.451447984127906,-0.6457082241236585,26.056323414622536,-22.39036084350992,3.43,1.68,217.0,75.8,24.0,91.1,2243.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.41,,,,,,,,31,5,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,214.0,0.0,-0.075,72.75845,6.87851
SI,2024-09-29,92.3,-2.24,5.85,"Vierling, Matt",663837,686563,,called_strike,,,,,6.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,S,,,3,0,2024,-1.36,0.34,0.48,2.72,,,,0,4,Bot,,,,,686676,,,9.8387813086542,-134.1799838234346,-2.912862164617533,-18.47098519659463,27.605560035532893,-27.616966090528564,3.29,1.56,,,,92.2,2108.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.33,,,,,,,,31,4,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,223.0,0.0,-0.081,,
SI,2024-09-29,93.2,-2.2,5.88,"Vierling, Matt",663837,686563,,ball,,,,,11.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,B,,,2,0,2024,-1.19,0.58,-1.16,2.86,,,,0,4,Bot,,,,,686676,,,5.241950306174403,-135.6638153434653,-3.289342010484025,-15.849408925952169,27.23869463756025,-24.553253638121024,3.22,1.51,,,,92.9,2173.0,5.9,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.6,,,,,,,,31,3,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,226.0,0.0,0.132,,
ST,2024-09-29,84.2,-2.36,5.71,"Vierling, Matt",663837,686563,,ball,,,,,14.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,B,,,1,0,2024,0.83,0.18,0.74,1.25,,,,0,4,Bot,,,,,686676,,,5.5650768459368605,-122.52322030734392,-4.3663541223209945,7.403699003324526,22.663968434759617,-29.74907537254728,3.4,1.58,,,,84.6,2557.0,6.4,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.08,,,,,,,,31,2,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,71.0,0.0,0.061,,
ST,2024-09-29,83.6,-2.39,5.67,"Vierling, Matt",663837,686563,,ball,,,,,14.0,Matt Vierling called out on strikes.,R,R,R,DET,CWS,B,,,0,0,2024,0.45,0.17,0.64,0.56,,,,0,4,Bot,,,,,686676,,,6.136941290810579,-121.6509979407608,-5.74194219968373,3.335152743958232,23.47456556184471,-29.528847976147148,3.35,1.53,,,,84.2,2528.0,6.6,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,53.88,,,,,,,,31,1,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,68.0,0.0,0.034,,
SL,2024-09-29,88.6,-0.86,5.56,"Vierling, Matt",663837,672860,walk,ball,,,,,14.0,Matt Vierling walks.,R,R,R,DET,CWS,B,,,3,1,2024,0.1,0.35,0.95,0.88,,,,1,8,Bot,,,,,686676,,,4.167152341139986,-128.86933530701486,-6.066720445082146,0.3048081749184598,26.2563482357886,-27.274256220299375,3.43,1.64,,,,88.0,2404.0,5.9,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.62,,0.689131,0.7,1.0,0.0,0.0,,73,5,Slider,4,9,4,9,9,4,4,9,Standard,Standard,205.0,0.008,0.162,,
