pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-08-10,94.4,-1.21,5.03,"Vilade, Ryan",668723,657277,field_out,hit_into_play,,,,,5,Ryan Vilade lines out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,X,9.0,line_drive,2,2,2024,-1.27,0.09,0.2,2.64,,,595879.0,2,7,Top,186.96,87.36,,,672275,,,6.57966678308022,-137.37317515383629,-0.758706229578462,-17.49023428352606,28.43660090977128,-31.122057897978102,3.42,1.6,315.0,94.3,23.0,95.9,1924,7.0,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.49,0.149,0.174,0.0,1.0,0.0,0.0,3.0,54,5,Sinker,3,1,1,3,1,3,1,3,Strategic,Standard,247,0.033,-0.197,77.66574,6.86918
ST,2024-08-10,84.6,-1.49,4.83,"Vilade, Ryan",668723,657277,,ball,,,,,14,Ryan Vilade lines out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,B,,,1,2,2024,0.96,-0.06,2.23,1.31,,,595879.0,2,7,Top,,,,,672275,,,6.837349951670568,-123.16292214793889,-1.7736544869443809,8.513760058537045,23.35167155768065,-32.69171557287826,3.44,1.61,,,,85.8,2470,6.9,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.58,,,,,,,,54,4,Sweeper,3,1,1,3,1,3,1,3,Strategic,Standard,74,0.0,0.032,,
ST,2024-08-10,84.7,-1.49,4.83,"Vilade, Ryan",668723,657277,,ball,,,,,14,Ryan Vilade lines out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,B,,,0,2,2024,0.95,-0.02,1.85,1.21,,,595879.0,2,7,Top,,,,,672275,,,5.955797861455717,-123.38896137170526,-2.169039777688425,8.745833901143277,22.234295061393347,-32.1397979244987,3.46,1.6,,,,86.0,2488,6.9,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.63,,,,,,,,54,3,Sweeper,3,1,1,3,1,3,1,3,Strategic,Standard,31,0.0,0.022,,
SI,2024-08-10,94.3,-1.28,4.98,"Vilade, Ryan",668723,657277,,called_strike,,,,,6,Ryan Vilade lines out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,S,,,0,1,2024,-1.11,-0.17,0.68,2.5,,,595879.0,2,7,Top,,,,,672275,,,7.660152364597365,-137.18052162868938,-0.4095162630090088,-15.675758218083296,28.082820165975523,-34.49634966476266,3.45,1.65,,,,95.7,2171,6.9,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.57,,,,,,,,54,2,Sinker,3,1,1,3,1,3,1,3,Strategic,Standard,338,0.0,-0.046,,
CH,2024-08-10,87.0,-1.55,4.79,"Vilade, Ryan",668723,657277,,foul,,,,,14,Ryan Vilade lines out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,S,,,0,0,2024,-0.6,-0.39,0.1,1.34,,,595879.0,2,7,Top,,,,,672275,,,5.253316636976312,-126.75979950303793,-1.4389375476101067,-7.404982684988018,21.01164442035968,-36.42009070230295,3.42,1.6,167.0,66.2,24.0,88.7,1482,6.9,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.63,,,,,,,,54,1,Changeup,3,1,1,3,1,3,1,3,Strategic,Standard,275,0.0,-0.039,76.64732,7.56439
ST,2024-08-10,84.3,-1.43,4.98,"Vilade, Ryan",668723,657277,strikeout,swinging_strike,,,,,14,Ryan Vilade strikes out swinging.,R,R,R,SF,DET,S,2.0,,0,2,2024,1.67,0.13,1.39,2.47,,,693307.0,2,5,Top,,,,,672275,,,3.254124207380925,-122.75531379640012,0.3737549034455507,15.97032909938709,27.28601490355534,-31.23357352616777,3.42,1.6,,,,85.0,2651,7.0,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.52,,0.0,0.0,1.0,0.0,0.0,,33,3,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,52,0.025,-0.142,68.88727,7.40799
ST,2024-08-10,85.6,-1.56,4.88,"Vilade, Ryan",668723,657277,,swinging_strike,,,,,14,Ryan Vilade strikes out swinging.,R,R,R,SF,DET,S,,,0,1,2024,1.14,-0.08,1.53,1.37,,,693307.0,2,5,Top,,,,,672275,,,5.054226676760516,-124.55724765893514,-1.8538746029615405,10.814648067054184,25.141620817418143,-32.888131697367484,3.42,1.6,,,,86.6,2513,6.9,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.57,,,,,,,,33,2,Sweeper,0,1,1,0,1,0,1,0,Strategic,Standard,53,0.0,-0.046,74.50217,8.08273
SI,2024-08-10,93.4,-1.36,5.0,"Vilade, Ryan",668723,657277,,called_strike,,,,,2,Ryan Vilade strikes out swinging.,R,R,R,SF,DET,S,,,0,0,2024,-1.31,-0.07,0.18,2.94,,,693307.0,2,5,Top,,,,,672275,,,6.935532111117908,-135.85899035200268,0.6288879084146943,-17.741890699437814,29.818609986412014,-33.44152070848466,3.12,1.53,,,,94.5,2371,7.0,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.55,,,,,,,,33,1,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,344,0.0,-0.039,,
SI,2024-08-10,94.0,-1.39,5.15,"Vilade, Ryan",668723,657277,field_out,hit_into_play,,,,,1,"Ryan Vilade grounds out, second baseman Brett Wisely to first baseman Mark Canha.",R,R,R,SF,DET,X,4.0,ground_ball,0,0,2024,-1.64,-0.15,-0.44,2.86,,,,2,3,Top,149.46,151.04,,,672275,,,6.186103328820632,-136.71779523702355,0.1645870912454927,-21.9679447670876,31.67428108056684,-34.33579492282241,3.42,1.6,6.0,86.3,-24.0,94.9,1929,7.0,745304,657277,672275,592192,689172,656305,666149,624424,671218,573262,53.52,0.086,0.092,0.0,1.0,0.0,0.0,2.0,18,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,240,0.011,-0.098,62.51814,5.66822
KC,2024-08-09,83.3,2.71,6.22,"Vilade, Ryan",668723,592662,field_out,hit_into_play,,,,,7,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,X,9.0,fly_ball,0,2,2024,-0.33,-0.22,-0.71,2.12,,690993.0,676632.0,2,6,Top,150.44,110.59,,,592200,,,-7.176655487646775,-121.23417731052068,-2.617412912575628,-2.0528189000483894,21.125327288188117,-34.03618569065153,3.42,1.58,231.0,76.3,45.0,83.5,2352,6.2,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.33,0.109,0.109,0.0,1.0,0.0,0.0,3.0,41,8,Knuckle Curve,0,2,2,0,2,0,2,0,Strategic,Standard,323,0.032,-0.296,76.92218,7.18954
FF,2024-08-09,94.5,2.49,6.29,"Vilade, Ryan",668723,592662,,foul,,,,,2,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,2,2024,0.85,1.41,0.1,3.31,,690993.0,676632.0,2,6,Top,,,,,592200,,,-8.083570406878795,-137.38407319790235,-5.205153054394711,12.477756966182056,29.887236075486484,-13.295108447192304,3.42,1.58,,,,94.4,2391,6.2,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.28,,,,,,,,41,7,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,146,0.0,0.0,73.3392,6.17822
SL,2024-08-09,88.0,2.42,6.26,"Vilade, Ryan",668723,592662,,foul,,,,,13,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,2,2024,0.52,0.52,-1.12,1.19,,690993.0,676632.0,2,6,Top,,,,,592200,,,-9.641124367667672,-127.82684722705449,-7.383475752576104,7.415151743602982,21.69531998521348,-25.18308366273372,3.42,1.58,104.0,97.2,6.0,88.6,2123,6.3,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.16,,,,,,,,41,6,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,152,0.0,0.0,76.3003,7.93695
FF,2024-08-09,94.2,2.49,6.18,"Vilade, Ryan",668723,592662,,foul,,,,,4,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,2,2024,0.83,1.38,-0.5,2.64,,690993.0,676632.0,2,6,Top,,,,,592200,,,-9.604031220818769,-136.80493104985018,-6.583250994271197,12.35024196423619,26.645197977795096,-13.489733349601584,3.42,1.58,162.0,58.3,40.0,94.6,2272,6.3,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.15,,,,,,,,41,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,139,0.0,0.0,67.84105,5.91207
FF,2024-08-09,94.5,2.54,6.29,"Vilade, Ryan",668723,592662,,foul,,,,,4,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,2,2024,0.85,1.48,-0.3,2.74,,690993.0,676632.0,2,6,Top,,,,,592200,,,-9.24823050702386,-137.17394708057762,-6.790073034493349,12.890222239755204,31.9261323025256,-12.110258512997694,3.42,1.58,215.0,71.7,42.0,93.9,2215,6.2,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.3,,,,,,,,41,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,142,0.0,0.0,69.52745,6.28081
SL,2024-08-09,88.5,2.56,6.28,"Vilade, Ryan",668723,592662,,foul,,,,,13,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,2,2024,0.24,0.52,-0.84,2.12,,690993.0,676632.0,2,6,Top,,,,,592200,,,-8.732564561010442,-128.57909846076365,-5.135567905053978,4.414039412859226,25.89202788040941,-25.47399825607729,3.42,1.58,3.0,85.4,-31.0,88.1,2238,6.1,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.42,,,,,,,,41,3,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,148,0.0,0.0,72.63495,7.02629
KC,2024-08-09,82.0,2.74,6.26,"Vilade, Ryan",668723,592662,,foul,,,,,14,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,1,2024,-0.05,-0.23,0.62,0.95,,690993.0,676632.0,2,6,Top,,,,,592200,,,-4.675233428449183,-119.40987284581398,-5.1041181742856425,0.234346788634378,19.49464553840977,-33.70540377796335,3.42,1.58,1.0,49.8,-42.0,82.1,2170,6.0,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.5,,,,,,,,41,2,Knuckle Curve,0,2,2,0,2,0,2,0,Strategic,Standard,328,0.0,-0.073,73.63036,8.43717
SL,2024-08-09,86.3,2.67,6.4,"Vilade, Ryan",668723,592662,,foul,,,,,4,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,L,SF,DET,S,,,0,0,2024,0.04,0.7,-0.53,2.26,,690993.0,676632.0,2,6,Top,,,,,592200,,,-7.696892944298362,-125.48832349994429,-5.120501671693428,1.8136223118488977,22.39035727137377,-23.91106032256025,3.42,1.58,249.0,97.8,17.0,86.6,2119,6.3,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.24,,,,,,,,41,1,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,149,0.0,-0.077,77.65777,8.01632
KC,2024-08-09,82.4,2.64,6.22,"Vilade, Ryan",668723,592662,strikeout,swinging_strike,,,,,13,Ryan Vilade strikes out swinging.,R,R,L,SF,DET,S,2.0,,1,2,2024,-0.21,0.05,-1.02,0.79,,,,2,4,Top,,,,,592200,,,-7.848879423538207,-119.6989548603976,-5.861108147321383,-0.5362795526414242,22.785745362722075,-30.712558968508286,3.42,1.58,,,,81.8,1951,6.0,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.53,,0.0,0.0,1.0,0.0,0.0,,26,4,Knuckle Curve,0,1,1,0,1,0,1,0,Strategic,Standard,334,0.011,-0.069,41.55284,8.18207
KC,2024-08-09,83.8,2.75,6.29,"Vilade, Ryan",668723,592662,,swinging_strike,,,,,13,Ryan Vilade strikes out swinging.,R,R,L,SF,DET,S,,,1,1,2024,-0.09,0.08,-1.28,0.53,,,,2,4,Top,,,,,592200,,,-9.058052233898454,-121.49945446353018,-6.849260579021285,1.26205276855046,28.358529051822185,-30.01859689344144,3.42,1.58,,,,82.4,2001,6.0,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.48,,,,,,,,26,3,Knuckle Curve,0,1,1,0,1,0,1,0,Strategic,Standard,341,0.0,-0.025,72.46251,8.69005
SL,2024-08-09,86.5,2.6,6.4,"Vilade, Ryan",668723,592662,,foul,,,,,13,Ryan Vilade strikes out swinging.,R,R,L,SF,DET,S,,,1,0,2024,0.28,0.66,-0.81,1.18,,,,2,4,Top,,,,,592200,,,-8.652964133850313,-125.54786748404564,-7.529377617673704,4.747049909475312,25.27786849418093,-23.810918503786446,3.42,1.58,,,,86.1,2117,6.1,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.37,,,,,,,,26,2,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,154,0.0,-0.02,78.35785,8.65518
FF,2024-08-09,94.1,2.62,6.37,"Vilade, Ryan",668723,592662,,ball,,,,,11,Ryan Vilade strikes out swinging.,R,R,L,SF,DET,B,,,0,0,2024,0.76,1.49,-1.28,2.76,,,,2,4,Top,,,,,592200,,,-11.70567174390441,-136.29369356596257,-6.841642254202156,12.162692299173516,32.22859990449582,-12.179458892534244,3.4,1.65,,,,93.1,2171,6.1,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.37,,,,,,,,26,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,147,0.0,0.015,,
FF,2024-08-09,93.3,2.5,6.4,"Vilade, Ryan",668723,592662,sac_fly,hit_into_play,,,,,1,Ryan Vilade out on a sacrifice fly to left fielder Michael Conforto.   Gio Urshela scores.  Throwing error by left fielder Michael Conforto.,R,R,L,SF,DET,X,7.0,fly_ball,1,0,2024,0.83,1.36,-0.44,3.03,570482.0,,672761.0,0,2,Top,83.58,97.84,,,592200,,,-9.352348472144431,-135.58981549257368,-5.926775893862405,12.215227418010349,27.41302136761522,-14.178586091225398,3.42,1.58,278.0,94.7,50.0,93.3,2224,6.2,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.33,0.003,0.003,0.0,1.0,0.0,0.0,3.0,11,2,4-Seam Fastball,0,0,0,0,1,0,1,0,Standard,Standard,152,0.004,-0.475,79.65852,7.41739
KC,2024-08-09,82.4,2.79,6.36,"Vilade, Ryan",668723,592662,,blocked_ball,,,,,13,Ryan Vilade out on a sacrifice fly to left fielder Michael Conforto.   Gio Urshela scores.  Throwing error by left fielder Michael Conforto.,R,R,L,SF,DET,B,,,0,0,2024,0.09,-0.08,-1.58,1.07,570482.0,,672761.0,0,2,Top,,,,,592200,,,-10.003447428047306,-119.49882405149488,-5.250931936175491,2.7859106397779723,23.257929641549357,-32.099936499038726,3.36,1.67,,,,81.6,2393,6.0,745308,592662,592200,664774,689172,656305,666149,624424,671218,573262,54.52,,,,,,,,11,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,354,0.0,0.038,,
SL,2024-08-09,74.2,-3.79,1.17,"Vilade, Ryan",668723,643511,field_out,hit_into_play,,,,,12,Ryan Vilade flies out to right fielder Mike Yastrzemski.,R,R,R,SF,DET,X,9.0,fly_ball,3,2,2024,0.66,0.99,0.99,3.3,,,,2,9,Top,182.24,124.8,,,672275,,,8.552618821193478,-107.24719284089726,9.905832077214995,3.556015525045863,18.80255041084861,-26.619648096900477,3.42,1.58,232.0,82.5,49.0,73.5,2236,6.1,745308,643511,672275,664774,689172,656305,666149,624424,671218,573262,54.36,0.031,0.034,0.0,1.0,0.0,0.0,3.0,63,6,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,117,0.032,-0.125,65.24901,6.87279
