pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-29,94.6,-1.83,5.89,"Torkelson, Spencer",679529,686563,walk,ball,,,,,12.0,Spencer Torkelson walks.,R,R,R,DET,CWS,B,,,3,2,2024,-0.58,1.08,1.0,4.04,,,,1,5,Bot,,,,,686676,,,8.628485731004593,-137.66706254504214,-1.5874896256708122,-9.156892316761729,27.614342592152727,-18.25121619253304,3.35,1.54,,,,94.7,2100.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.35,,0.689131,0.7,1.0,0.0,0.0,,40,10,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,218.0,0.014,0.22,,
ST,2024-09-29,82.9,-2.27,5.5,"Torkelson, Spencer",679529,686563,,ball,,,,,14.0,Spencer Torkelson walks.,R,R,R,DET,CWS,B,,,2,2,2024,0.72,0.58,1.53,1.56,,,,1,5,Bot,,,,,686676,,,7.27744070068106,-120.65354412463287,-3.703238601358215,5.75273411543812,21.999359962515296,-26.002350998703683,3.33,1.52,,,,83.3,2586.0,6.4,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.13,,,,,,,,40,9,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,50.0,0.0,0.068,,
FF,2024-09-29,95.0,-2.19,5.85,"Torkelson, Spencer",679529,686563,,foul,,,,,11.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,2,2,2024,-0.89,1.23,-0.88,3.4,,,,1,5,Bot,,,,,686676,,,5.415376133526838,-138.3180006724905,-3.534733110223128,-12.600384133587694,31.034392142593926,-15.741744308161952,3.46,1.59,182.0,79.3,15.0,94.6,2236.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.45,,,,,,,,40,8,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,225.0,0.0,0.0,74.98931,7.12661
CH,2024-09-29,85.2,-2.26,5.54,"Torkelson, Spencer",679529,686563,,foul,,,,,5.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,2,2,2024,-1.24,0.15,0.06,2.62,,,,1,5,Bot,,,,,686676,,,7.892463914629123,-123.76325354533309,-0.8224130972422966,-14.321352740628374,25.711647331230136,-30.679622933140607,3.46,1.59,82.0,86.4,6.0,84.8,1568.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.27,,,,,,,,40,7,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,240.0,0.0,0.0,75.11243,8.25182
SI,2024-09-29,94.1,-1.81,5.87,"Torkelson, Spencer",679529,686563,,ball,,,,,14.0,Spencer Torkelson walks.,R,R,R,DET,CWS,B,,,1,2,2024,-1.49,0.54,1.52,2.38,,,,1,5,Bot,,,,,686676,,,11.865735402943944,-136.50550760845445,-4.489457561687145,-21.21089773049348,29.215213048890146,-24.618421478251378,3.41,1.57,,,,93.7,2198.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.36,,,,,,,,40,6,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,227.0,0.0,0.027,,
ST,2024-09-29,81.9,-2.3,5.41,"Torkelson, Spencer",679529,686563,,foul,,,,,7.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,1,2,2024,0.66,0.39,-0.54,1.65,,,,1,5,Bot,,,,,686676,,,2.710373197035928,-119.3337011195316,-2.72161487644066,5.829050288574458,22.623514317194093,-28.093561055076435,3.46,1.59,91.0,46.0,25.0,82.1,2544.0,6.3,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.17,,,,,,,,40,5,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,67.0,0.0,0.0,67.15494,8.0376
ST,2024-09-29,83.6,-2.27,5.57,"Torkelson, Spencer",679529,686563,,foul,,,,,5.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,1,2,2024,0.55,0.53,0.06,2.35,,,,1,5,Bot,,,,,686676,,,4.294900469956434,-121.64875155776402,-2.019236353410665,4.578551363515445,24.349541049154464,-26.775865635692803,3.46,1.59,197.0,71.4,52.0,83.5,2562.0,6.3,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.22,,,,,,,,40,4,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,71.0,0.0,0.0,82.22043,8.22646
FF,2024-09-29,95.5,-2.06,5.86,"Torkelson, Spencer",679529,686563,,ball,,,,,12.0,Spencer Torkelson walks.,R,R,R,DET,CWS,B,,,0,2,2024,-0.94,1.15,0.78,3.72,,,,1,5,Bot,,,,,686676,,,9.516326924899312,-138.8274487658151,-2.593381957814738,-14.187622573869907,29.95489019970723,-16.834137543006417,3.41,1.54,,,,95.0,2212.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.52,,,,,,,,40,3,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,227.0,0.0,0.013,,
SI,2024-09-29,94.1,-1.98,5.92,"Torkelson, Spencer",679529,686563,,called_strike,,,,,3.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,0,1,2024,-1.36,0.53,0.78,2.81,,,,1,5,Bot,,,,,686676,,,10.067174292880482,-136.69636219746016,-3.5386083988843597,-19.238046534653723,28.1276154139854,-24.98849823445339,3.38,1.52,,,,93.5,2124.0,5.9,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.59,,,,,,,,40,2,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,226.0,0.0,-0.036,,
SI,2024-09-29,93.7,-2.1,5.87,"Torkelson, Spencer",679529,686563,,foul,,,,,8.0,Spencer Torkelson walks.,R,R,R,DET,CWS,S,,,0,0,2024,-1.3,0.51,-0.24,2.04,,,,1,5,Bot,,,,,686676,,,7.608350275754942,-136.29472000849674,-5.303437055742953,-17.792246498400274,28.32010063838094,-24.81519548250546,3.46,1.59,2.0,50.7,-39.0,93.4,2208.0,6.0,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.48,,,,,,,,40,1,Sinker,0,5,0,5,5,0,0,5,Standard,Standard,226.0,0.0,-0.023,73.47146,7.624
FF,2024-09-29,95.5,-0.65,5.53,"Torkelson, Spencer",679529,672860,walk,ball,,,,,14.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,3,2,2024,-0.53,1.55,1.37,1.89,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,6.497373084738096,-138.79799186812195,-7.426984534945393,-8.314681589979346,30.28378476180777,-10.680394306762723,3.41,1.57,,,,95.2,2329.0,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.36,,0.689131,0.7,1.0,0.0,0.0,,77,6,4-Seam Fastball,4,9,4,9,9,5,5,9,Standard,Standard,206.0,0.035,0.725,,
FF,2024-09-29,94.6,-0.6,5.62,"Torkelson, Spencer",679529,672860,,called_strike,,,,,2.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,S,,,3,1,2024,-0.64,1.32,-0.21,2.98,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,2.4218249732501644,-137.75914930476983,-4.157918378889539,-8.639016555213614,29.367805534379976,-14.66817071333632,3.48,1.57,,,,94.4,2250.0,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.45,,,,,,,,77,5,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,211.0,0.0,-0.201,,
FF,2024-09-29,95.9,-0.65,5.61,"Torkelson, Spencer",679529,672860,,called_strike,,,,,7.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,S,,,3,0,2024,-0.73,1.35,-0.59,1.84,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,1.811323025796896,-139.5337699745924,-7.378772979811859,-9.886666849082806,31.264023385401305,-13.116711034874864,3.41,1.57,,,,95.6,2408.0,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.37,,,,,,,,77,4,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,214.0,0.0,-0.188,,
SL,2024-09-29,86.4,-0.7,5.67,"Torkelson, Spencer",679529,672860,,ball,,,,,14.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,2,0,2024,0.28,0.29,0.32,1.17,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,1.860945548790392,-125.85241296650524,-5.11894926108753,2.628709000054592,24.692848446998937,-28.24116142481997,3.43,1.52,,,,86.1,2471.0,6.0,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.54,,,,,,,,77,3,Slider,4,9,4,9,9,4,4,9,Standard,Standard,114.0,0.0,0.317,,
SL,2024-09-29,84.9,-0.73,5.67,"Torkelson, Spencer",679529,672860,,ball,,,,,11.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,1,0,2024,0.54,0.16,-1.24,2.79,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,-2.241256151434988,-123.75068677102053,-0.790143672259336,5.974253644798801,22.851878595420853,-30.61307022405252,3.41,1.52,,,,84.6,2357.0,5.8,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.65,,,,,,,,77,2,Slider,4,9,4,9,9,4,4,9,Standard,Standard,155.0,0.0,0.255,,
FF,2024-09-29,96.3,-0.8,5.59,"Torkelson, Spencer",679529,672860,,ball,,,,,13.0,Spencer Torkelson walks.   Matt Vierling scores.    Wenceel Pérez to 3rd.    Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,0,0,2024,-0.83,1.25,-0.15,1.45,663837.0,672761.0,690291.0,2,8,Bot,,,,,686676,,,3.565083320511995,-140.11623657509287,-8.235660670608844,-11.689478577546923,31.035697787222425,-14.057599225627138,3.54,1.62,,,,96.1,2213.0,6.2,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.34,,,,,,,,77,1,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210.0,0.0,0.091,,
CH,2024-09-29,88.7,2.74,5.7,"Torkelson, Spencer",679529,686642,field_out,hit_into_play,,,,,8.0,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,X,9.0,fly_ball,2,2,2024,0.7,0.52,-0.15,1.53,,,682985.0,2,6,Bot,182.74,107.15,,,686676,,,-8.427289184359422,-129.05696140222886,-5.274572360414251,9.414898690612931,22.745753906452904,-25.451359926513323,3.46,1.59,299.0,94.7,47.0,88.2,1654.0,5.6,746416,686642,686676,683734,672820,678246,676070,676113,673357,666150,54.86,0.003,0.006,0.0,1.0,0.0,0.0,3.0,54,8,Changeup,4,5,4,5,5,4,4,5,Standard,Standard,129.0,-0.042,-0.197,72.36611,7.98497
