pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2024-09-29,85.7,-2.33,5.4,"Sweeney, Trey",700242,686563,walk,ball,,,,,13,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,B,,,3,2,2024,-1.18,-0.19,-0.53,0.92,,,679529.0,1,5,Bot,,,,,686676,,,6.679163941486231,-124.668873795189,-3.9497962832918008,-13.66693822112006,24.44236194995277,-33.60237839427947,3.48,1.59,,,,86.1,1560.0,6.5,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,53.99,,0.689131,0.7,1.0,0.0,0.0,,41,6,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,253,0.024,0.306,,
ST,2024-09-29,83.4,-2.64,5.43,"Sweeney, Trey",700242,686563,,ball,,,,,13,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,B,,,2,2,2024,0.65,0.21,-0.22,1.19,,,679529.0,1,5,Bot,,,,,686676,,,4.293680331756946,-121.44328772194984,-3.800395767339335,5.770394297019507,20.80913267069666,-29.58469890037811,3.46,1.57,,,,84.0,2488.0,6.3,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.15,,,,,,,,41,5,Sweeper,0,5,0,5,5,0,0,5,Standard,Standard,65,0.0,0.091,,
FF,2024-09-29,92.3,-2.31,5.67,"Sweeney, Trey",700242,686563,,foul,,,,,2,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,S,,,2,1,2024,-0.29,1.13,0.04,3.38,,,679529.0,1,5,Bot,,,,,686676,,,6.584172942189529,-134.29159812780588,-2.476845696233667,-4.9693167488317,28.92406909084818,-18.14320346396102,3.65,1.72,154.0,82.2,75.0,92.0,2289.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,41,4,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,222,0.0,-0.067,73.94073,6.92323
FC,2024-09-29,91.5,-2.34,5.67,"Sweeney, Trey",700242,686563,,ball,,,,,14,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,B,,,1,1,2024,-0.17,0.76,0.99,1.46,,,679529.0,1,5,Bot,,,,,686676,,,8.747432675666996,-132.89642871257976,-6.384479861386325,-3.8428188231008735,27.83864639792021,-21.96836201616912,3.48,1.59,,,,91.4,2163.0,6.3,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.22,,,,,,,,41,3,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,225,0.0,0.055,,
FF,2024-09-29,92.2,-2.45,5.75,"Sweeney, Trey",700242,686563,,foul,,,,,9,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,S,,,1,0,2024,-0.98,1.19,0.33,1.91,,,679529.0,1,5,Bot,,,,,686676,,,9.1223475572621,-133.81920295360877,-6.440761848052186,-13.759365742874785,29.937274892547457,-16.676989265094203,3.65,1.72,181.0,82.8,69.0,91.6,2194.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,41,2,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,226,0.0,-0.056,76.27077,7.80531
FC,2024-09-29,89.4,-2.65,5.54,"Sweeney, Trey",700242,686563,,ball,,,,,13,Trey Sweeney walks.   Spencer Torkelson to 2nd.,R,L,R,DET,CWS,B,,,0,0,2024,-0.22,0.85,-0.46,1.34,,,679529.0,1,5,Bot,,,,,686676,,,5.847076584596972,-130.03609436773033,-6.122736059580763,-3.701934583581963,27.126839521661324,-21.38952540927593,3.48,1.52,,,,89.2,2257.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.3,,,,,,,,41,1,Cutter,0,5,0,5,5,0,0,5,Standard,Standard,217,0.0,0.043,,
FF,2024-09-29,92.7,-2.27,5.83,"Sweeney, Trey",700242,686563,strikeout,swinging_strike,,,,,12,Trey Sweeney strikes out swinging.,R,L,R,DET,CWS,S,2.0,,0,2,2024,-0.67,1.07,0.87,3.53,,,679529.0,0,3,Bot,,,,,686676,,,9.443045919298848,-134.8241859001065,-2.429130908620751,-10.13973187433287,27.457680023130774,-18.71109614391494,3.65,1.72,,,,92.6,2191.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.4,,0.0,0.0,1.0,0.0,0.0,,24,3,4-Seam Fastball,0,5,0,5,5,0,0,5,Standard,Standard,221,-0.023,-0.224,47.98356,5.27295
CH,2024-09-29,85.3,-2.34,5.58,"Sweeney, Trey",700242,686563,,swinging_strike,,,,,13,Trey Sweeney strikes out swinging.,R,L,R,DET,CWS,S,,,0,1,2024,-1.18,0.22,-0.93,1.57,,,679529.0,0,3,Bot,,,,,686676,,,5.697748707799625,-124.15229864239411,-3.61325815357368,-13.38029786373218,23.27474593521291,-29.414688573600184,3.65,1.72,,,,85.6,1826.0,6.3,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.16,,,,,,,,24,2,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,243,0.0,-0.073,76.58584,8.21398
CH,2024-09-29,84.2,-2.26,5.58,"Sweeney, Trey",700242,686563,,called_strike,,,,,6,Trey Sweeney strikes out swinging.,R,L,R,DET,CWS,S,,,0,0,2024,-0.92,0.19,0.58,2.54,,,679529.0,0,3,Bot,,,,,686676,,,8.39522796758719,-122.44280970016402,-1.0679235881928153,-10.840947272674912,23.371369559846013,-30.280505004222597,3.56,1.62,,,,84.0,1707.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,24,1,Changeup,0,5,0,5,5,0,0,5,Standard,Standard,245,0.0,-0.063,,
SI,2024-09-29,94.8,-1.58,5.08,"Sweeney, Trey",700242,681402,field_out,hit_into_play,,,,,13,"Trey Sweeney grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,L,R,DET,CWS,X,6.0,ground_ball,1,1,2024,-1.32,1.03,-1.02,2.66,,,,0,7,Bot,119.48,147.6,,,686676,,,4.415999031973637,-137.92877489894127,-2.912538687181439,-17.77435166182641,33.46807000000137,-18.64417532903929,3.65,1.72,6.0,72.5,-22.0,94.5,2235.0,6.3,746416,681402,686676,683734,672820,678246,676070,676113,673357,666150,54.19,0.066,0.065,0.0,1.0,0.0,0.0,2.0,64,3,Sinker,4,9,4,9,9,4,4,9,Infield shade,Standard,223,-0.009,-0.217,72.08587,7.19852
SL,2024-09-29,86.3,-1.97,5.32,"Sweeney, Trey",700242,660853,field_out,hit_into_play,,,,,4,"Trey Sweeney grounds out, pitcher Enyel De Los Santos to first baseman Andrew Vaughn.",R,L,R,DET,CWS,X,1.0,ground_ball,0,1,2024,0.14,0.59,-0.45,2.42,672761.0,690291.0,679529.0,2,8,Bot,124.87,184.47,,,686676,,,3.3307177956616605,-125.67203396328114,-1.902879910093087,0.82632290835081,23.833025116246223,-25.77173036710072,3.65,1.72,2.0,65.0,-58.0,86.4,2272.0,6.1,746416,660853,686676,683734,672820,678246,676070,676113,673357,666150,54.36,0.277,0.269,0.0,1.0,0.0,0.0,2.0,78,2,Slider,5,9,5,9,9,5,5,9,Infield shade,Standard,209,-0.054,-0.686,76.2922,8.32381
FF,2024-09-29,96.1,-1.68,5.07,"Sweeney, Trey",700242,681402,,foul,,,,,4,"Trey Sweeney grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,L,R,DET,CWS,S,,,1,0,2024,-1.12,1.35,-0.53,2.35,,,,0,7,Bot,,,,,686676,,,5.585549459506484,-139.8064053634834,-4.6442514897839,-16.001107614303187,31.87061291391885,-13.65168158173219,3.65,1.72,213.0,75.5,52.0,96.1,2433.0,6.3,746416,681402,686676,683734,672820,678246,676070,676113,673357,666150,54.16,,,,,,,,64,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Infield shade,Standard,221,0.0,-0.044,72.86306,7.64766
SL,2024-09-29,86.9,-2.02,5.42,"Sweeney, Trey",700242,660853,,swinging_strike,,,,,9,"Trey Sweeney grounds out, pitcher Enyel De Los Santos to first baseman Andrew Vaughn.",R,L,R,DET,CWS,S,,,0,0,2024,0.14,0.69,0.53,1.92,672761.0,690291.0,679529.0,2,8,Bot,,,,,686676,,,5.819683339361958,-126.501618188949,-3.668628542384656,0.4487039946958916,23.56624263338574,-24.17856846490076,3.65,1.72,,,,87.2,2277.0,6.2,746416,660853,686676,683734,672820,678246,676070,676113,673357,666150,54.26,,,,,,,,78,1,Slider,5,9,5,9,9,5,5,9,Infield shade,Standard,222,0.0,-0.125,75.8819,8.96717
SI,2024-09-29,94.8,-1.51,5.12,"Sweeney, Trey",700242,681402,,ball,,,,,14,"Trey Sweeney grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",R,L,R,DET,CWS,B,,,0,0,2024,-1.11,1.35,1.38,1.74,,,,0,7,Bot,,,,,686676,,,10.029349198977147,-137.66131896515063,-6.18515101157333,-16.3664587350505,29.69722359166915,-13.743142727817308,3.53,1.64,,,,94.9,2378.0,6.4,746416,681402,686676,683734,672820,678246,676070,676113,673357,666150,54.09,,,,,,,,64,1,Sinker,4,9,4,9,9,4,4,9,Infield shade,Standard,218,0.0,0.034,,
SI,2024-09-27,99.8,2.67,5.55,"Sweeney, Trey",700242,676979,field_out,hit_into_play,,,,,5,"Trey Sweeney grounds out, shortstop Nicky Lopez to first baseman Gavin Sheets.",R,L,L,DET,CWS,X,6.0,ground_ball,1,1,2024,1.4,0.41,0.25,2.37,682985.0,672761.0,679529.0,2,4,Bot,113.53,150.39,,,686676,,,-10.094944742196468,-145.07379574872982,-4.405089405377921,21.99963761642354,30.92046904780969,-25.61953300976634,3.67,1.72,10.0,105.9,-12.0,101.5,2502.0,7.1,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.42,0.303,0.294,0.0,1.0,0.0,0.0,2.0,30,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,131,-0.086,-0.776,72.42595,7.31938
FF,2024-09-27,99.0,2.7,5.69,"Sweeney, Trey",700242,676979,,ball,,,,,1,"Trey Sweeney grounds out, shortstop Nicky Lopez to first baseman Gavin Sheets.",R,L,L,DET,CWS,B,,,0,1,2024,0.61,1.09,-0.7,3.53,682985.0,672761.0,679529.0,2,4,Bot,,,,,686676,,,-10.807274009112444,-143.91041433913944,-3.1109348410746964,10.700763628765916,28.522591935282414,-16.417272556929127,3.65,1.86,,,,100.6,2588.0,6.9,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.59,,,,,,,,30,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,135,0.0,0.091,,
SI,2024-09-27,99.8,2.53,5.64,"Sweeney, Trey",700242,676979,,foul,,,,,14,"Trey Sweeney grounds out, shortstop Nicky Lopez to first baseman Gavin Sheets.",R,L,L,DET,CWS,S,,,0,0,2024,1.36,0.7,1.49,2.25,682985.0,672761.0,679529.0,2,4,Bot,,,,,686676,,,-6.122142556666764,-145.31115051843867,-5.692438111876226,20.676987489044084,31.03488555974875,-21.16420232316028,3.67,1.72,,,,101.3,2482.0,6.9,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.64,,,,,,,,30,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,133,0.0,-0.125,75.07575,7.59828
SL,2024-09-27,84.6,1.43,5.35,"Sweeney, Trey",700242,694363,strikeout,swinging_strike,,,,,13,Trey Sweeney strikes out swinging.,R,L,L,DET,CWS,S,2.0,,0,2,2024,-0.06,0.18,-0.17,1.48,,,679529.0,1,6,Bot,,,,,686676,,,-3.6188686669415113,-123.2620038296172,-3.0851098296502366,0.0750533944946422,24.12286590385253,-29.925301134991035,3.67,1.72,,,,85.2,2122.0,6.6,746417,694363,686676,657757,672820,682868,670032,643217,666150,676113,53.94,,0.0,0.0,1.0,0.0,0.0,,46,3,Slider,2,1,2,1,1,2,2,1,Infield shade,Standard,126,-0.026,-0.188,74.92713,8.2469
SL,2024-09-27,85.3,1.47,5.35,"Sweeney, Trey",700242,694363,,swinging_strike,,,,,8,Trey Sweeney strikes out swinging.,R,L,L,DET,CWS,S,,,0,1,2024,-0.33,0.46,-0.06,2.09,,,679529.0,1,6,Bot,,,,,686676,,,-2.948180354544881,-124.39264556463036,-2.378270358234612,-2.898429299312442,22.369223017054384,-27.10180952588521,3.67,1.72,,,,86.3,2092.0,6.6,746417,694363,686676,657757,672820,682868,670032,643217,666150,676113,53.9,,,,,,,,46,2,Slider,2,1,2,1,1,2,2,1,Infield shade,Standard,151,0.0,-0.06,75.77331,8.17205
SL,2024-09-27,85.6,1.49,5.39,"Sweeney, Trey",700242,694363,,swinging_strike,,,,,9,Trey Sweeney strikes out swinging.,R,L,L,DET,CWS,S,,,0,0,2024,-0.35,0.5,0.38,2.08,,,679529.0,1,6,Bot,,,,,686676,,,-1.9422755759286443,-124.77716716294748,-2.6796665926502787,-3.3486163910242475,21.33151172820375,-26.625488517017114,3.67,1.72,,,,86.6,2132.0,6.5,746417,694363,686676,657757,672820,682868,670032,643217,666150,676113,53.99,,,,,,,,46,1,Slider,2,1,2,1,1,2,2,1,Infield shade,Standard,142,0.0,-0.048,75.40908,8.34857
SI,2024-09-27,97.6,2.69,5.79,"Sweeney, Trey",700242,676979,grounded_into_double_play,hit_into_play,,,,,12,"Trey Sweeney grounds into a double play, shortstop Nicky Lopez to first baseman Gavin Sheets.   Spencer Torkelson out at 2nd.    Trey Sweeney out at 1st.",R,L,L,DET,CWS,X,6.0,ground_ball,1,0,2024,1.24,0.42,1.24,3.28,,,679529.0,1,2,Bot,126.22,148.86,,,686676,,,-6.851571638721823,-142.08613740973271,-2.254449809197289,18.34805320150975,31.24109432016744,-26.22999519294153,3.67,1.72,40.0,66.2,0.0,98.8,2423.0,6.9,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.64,0.131,0.136,0.0,1.0,0.0,0.0,2.0,14,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,142,-0.053,-0.412,69.48178,6.51593
FF,2024-09-27,95.4,2.75,5.74,"Sweeney, Trey",700242,676979,,ball,,,,,11,"Trey Sweeney grounds into a double play, shortstop Nicky Lopez to first baseman Gavin Sheets.   Spencer Torkelson out at 2nd.    Trey Sweeney out at 1st.",R,L,L,DET,CWS,B,,,0,0,2024,0.41,0.92,-0.07,4.29,,,679529.0,1,2,Bot,,,,,686676,,,-8.420467403000385,-138.7586605299024,-0.2572068350629817,7.1235580950281845,29.602107608657253,-20.44319667259295,3.63,1.63,,,,96.3,2443.0,6.7,746417,676979,686676,657757,672820,682868,670032,643217,666150,676113,53.79,,,,,,,,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,145,0.0,0.043,,
SL,2024-09-27,85.5,-0.68,5.88,"Sweeney, Trey",700242,672860,field_out,hit_into_play,,,,,4,Trey Sweeney flies out to right fielder Zach DeLoach.,R,L,R,DET,CWS,X,9.0,fly_ball,1,1,2024,0.24,0.3,-0.45,2.62,,,,0,8,Bot,174.81,71.26,,,686676,,,0.0468218984180259,-124.71416185513183,-2.082098871052615,2.522104556868977,22.736904858167428,-28.88123794726008,3.67,1.72,338.0,89.9,34.0,85.2,2484.0,5.7,746417,672860,686676,657757,672820,682868,670032,643217,666150,676113,54.77,0.046,0.042,0.0,1.0,0.0,0.0,3.0,61,3,Slider,4,1,4,1,1,4,4,1,Infield shade,Standard,164,-0.003,-0.217,77.07445,7.87974
SL,2024-09-27,84.6,-0.7,5.83,"Sweeney, Trey",700242,672860,,swinging_strike,,,,,13,Trey Sweeney flies out to right fielder Zach DeLoach.,R,L,R,DET,CWS,S,,,1,0,2024,0.0,0.34,-0.43,1.14,,,,0,8,Bot,,,,,686676,,,0.6120895980353583,-123.12329580783538,-5.1879341536311365,-0.0906011707044896,26.2344118617277,-27.891372460514944,3.67,1.72,,,,83.6,2449.0,5.8,746417,672860,686676,657757,672820,682868,670032,643217,666150,676113,54.7,,,,,,,,61,2,Slider,4,1,4,1,1,4,4,1,Infield shade,Standard,158,0.0,-0.044,80.7703,9.13942
SL,2024-09-27,84.1,-0.88,5.93,"Sweeney, Trey",700242,672860,,ball,,,,,11,Trey Sweeney flies out to right fielder Zach DeLoach.,R,L,R,DET,CWS,B,,,0,0,2024,0.13,0.11,-0.76,4.68,,,,0,8,Bot,,,,,686676,,,0.0315370576662654,-122.50136144559796,3.2062816969135404,1.285434012803034,24.10341763431452,-31.88529305748078,3.46,1.54,,,,83.3,2416.0,5.7,746417,672860,686676,657757,672820,682868,670032,643217,666150,676113,54.82,,,,,,,,61,1,Slider,4,1,4,1,1,4,4,1,Infield shade,Standard,118,0.0,0.034,,
SI,2024-09-26,90.2,1.51,5.28,"Sweeney, Trey",700242,641302,single,hit_into_play,,,,,1,Trey Sweeney singles on a ground ball to center fielder Jose Siri.,R,L,L,DET,TB,X,8.0,ground_ball,1,2,2024,1.16,1.01,-0.33,3.32,,,,1,5,Bot,144.08,97.31,,,666163,,,-7.033748398655281,-131.33747209260585,-1.1272536137694888,14.912444676726924,24.35622202362684,-20.354579180346065,3.67,1.73,28.0,98.3,-5.0,90.4,2123.0,6.1,746415,641302,666163,666018,664040,691406,670764,666185,642350,666139,54.37,0.263,0.266,0.9,1.0,1.0,0.0,2.0,37,4,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,135,0.029,0.313,70.63505,7.21173
SI,2024-09-26,89.9,1.59,5.21,"Sweeney, Trey",700242,641302,,called_strike,,,,,2,Trey Sweeney singles on a ground ball to center fielder Jose Siri.,R,L,L,DET,TB,S,,,1,1,2024,1.23,0.94,-0.24,3.35,,,,1,5,Bot,,,,,666163,,,-7.107219412939868,-130.85592931487568,-0.6304334871802209,15.645803658499736,26.239509112105072,-21.453918588220425,3.72,1.73,,,,89.8,2048.0,6.1,746415,641302,666163,666018,664040,691406,670764,666185,642350,666139,54.42,,,,,,,,37,3,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,132,0.0,-0.039,,
FC,2024-09-26,86.7,1.45,5.49,"Sweeney, Trey",700242,641302,,ball,,,,,13,Trey Sweeney singles on a ground ball to center fielder Jose Siri.,R,L,L,DET,TB,B,,,0,1,2024,0.03,1.09,-1.29,1.78,,,,1,5,Bot,,,,,666163,,,-6.594058438736671,-126.16772955469204,-4.924086519938243,1.5407723007048653,23.78687881942444,-19.75542269368924,3.59,1.73,,,,86.9,2365.0,6.2,746415,641302,666163,666018,664040,691406,670764,666185,642350,666139,54.27,,,,,,,,37,2,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,158,0.0,0.015,,
SI,2024-09-26,89.8,1.59,5.34,"Sweeney, Trey",700242,641302,,called_strike,,,,,4,Trey Sweeney singles on a ground ball to center fielder Jose Siri.,R,L,L,DET,TB,S,,,0,0,2024,1.39,0.87,-0.3,2.39,,,,1,5,Bot,,,,,666163,,,-7.593606823194738,-130.49261588232076,-3.116023792244872,17.515580526184632,28.399660965409986,-21.82127516686719,3.65,1.73,,,,89.2,2024.0,6.1,746415,641302,666163,666018,664040,691406,670764,666185,642350,666139,54.4,,,,,,,,37,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,135,0.0,-0.023,,
FF,2024-09-26,99.0,-0.38,5.51,"Sweeney, Trey",700242,685801,strikeout,swinging_strike,,,,,5,Trey Sweeney strikes out swinging.,R,L,R,DET,TB,S,2.0,,1,2,2024,-0.73,1.69,-0.14,2.47,,,681481.0,2,6,Bot,,,,,666163,,,2.3721370360880765,-144.09443956264568,-6.849071958084562,-10.677197660791284,34.48459590485604,-7.208420433834872,3.67,1.73,,,,99.6,2416.0,6.7,746415,685801,666163,666018,664040,691406,670764,666185,642350,666139,53.85,,0.0,0.0,1.0,0.0,0.0,,50,4,4-Seam Fastball,2,3,2,3,3,2,2,3,Infield shade,Standard,207,-0.042,-0.165,72.9793,7.06622
FF,2024-09-26,99.2,-0.39,5.61,"Sweeney, Trey",700242,685801,,ball,,,,,11,Trey Sweeney strikes out swinging.,R,L,R,DET,TB,B,,,0,2,2024,-0.81,1.79,-1.5,3.33,,,681481.0,2,6,Bot,,,,,666163,,,-1.1652471264639217,-144.38955689029342,-4.99096539309868,-10.991352593194812,35.73412044922525,-6.256016117059969,3.61,1.73,,,,99.5,2427.0,6.6,746415,685801,666163,666018,664040,691406,670764,666185,642350,666139,53.92,,,,,,,,50,3,4-Seam Fastball,2,3,2,3,3,2,2,3,Infield shade,Standard,210,0.0,0.022,,
ST,2024-09-26,77.7,1.86,5.11,"Sweeney, Trey",700242,641302,field_out,hit_into_play,,,,,5,Trey Sweeney flies out to center fielder Jose Siri.,R,L,L,DET,TB,X,8.0,fly_ball,1,1,2024,-1.36,0.41,0.17,2.8,,,,0,3,Bot,130.98,93.56,,,666163,,,-1.1002555447280693,-113.07269428382268,1.242804543204662,-11.442995640707228,21.71079629841055,-29.113411123895943,3.67,1.73,263.0,96.1,50.0,77.3,2449.0,6.1,746415,641302,666163,666018,664040,691406,670764,666185,642350,666139,54.41,0.003,0.003,0.0,1.0,0.0,0.0,3.0,19,3,Sweeper,0,2,0,2,2,0,0,2,Standard,Standard,279,-0.026,-0.217,76.13282,7.42673
