pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
ST,2024-09-29,83.1,-2.46,5.54,"Pérez, Wenceel",672761,686563,field_out,hit_into_play,,,,,5.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,X,9.0,fly_ball,3,2,2024,0.9,0.5,-0.04,2.07,,,,2,4,Bot,179.91,87.73,,,686676,,,3.8032159930165794,-121.02936029162666,-2.5381208727752944,8.190970053055999,21.58824640858461,-26.98320728570721,3.13,1.45,306.0,96.0,44.0,83.4,2465.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.28,0.014,0.016,0.0,1.0,0.0,0.0,3.0,33,6,Sweeper,0,5,0,5,5,0,0,5,Infield shade,Standard,77.0,-0.004,-0.125,73.16722,7.53317
SI,2024-09-29,95.1,-1.94,5.82,"Pérez, Wenceel",672761,686563,,ball,,,,,14.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,B,,,2,2,2024,-1.36,0.36,1.58,2.03,,,,2,4,Bot,,,,,686676,,,12.21906309907484,-138.05674896848498,-5.106179470153015,-20.018804836894805,27.510523676698224,-26.61118756007857,3.07,1.41,,,,95.0,2168.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,33,5,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,224.0,0.0,0.041,,
FC,2024-09-29,89.8,-2.49,5.76,"Pérez, Wenceel",672761,686563,,swinging_strike,,,,,12.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,S,,,2,1,2024,-0.1,0.76,0.15,3.62,,,,2,4,Bot,,,,,686676,,,6.711976328510097,-130.6853729966156,-0.943283269818064,-2.5553510435015085,26.39048645659135,-23.42065740117071,3.13,1.45,,,,89.4,2392.0,5.9,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,33,4,Cutter,0,5,0,5,5,0,0,5,Infield shade,Standard,214.0,0.0,-0.032,66.64122,5.74727
ST,2024-09-29,83.2,-2.3,5.66,"Pérez, Wenceel",672761,686563,,called_strike,,,,,11.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,S,,,2,0,2024,1.05,0.28,-0.05,3.39,,,,2,4,Bot,,,,,686676,,,3.0899710168709773,-121.1419545668116,0.6978941675386601,9.774197186275709,23.266858732831945,-29.77078310568917,3.23,1.52,,,,83.1,2362.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.34,,,,,,,,33,3,Sweeper,0,5,0,5,5,0,0,5,Infield shade,Standard,83.0,0.0,-0.024,,
SI,2024-09-29,93.2,-2.1,5.87,"Pérez, Wenceel",672761,686563,,ball,,,,,14.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,B,,,1,0,2024,-1.49,0.75,1.25,1.71,,,,2,4,Bot,,,,,686676,,,11.791204548733738,-135.00883617499483,-6.442721777232353,-20.79380639988158,30.702072339318114,-21.713710387692288,3.04,1.38,,,,92.4,2058.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.35,,,,,,,,33,2,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,224.0,0.0,0.026,,
SI,2024-09-29,92.6,-2.01,5.84,"Pérez, Wenceel",672761,686563,,ball,,,,,12.0,Wenceel Pérez flies out to right fielder Dominic Fletcher.,R,L,R,DET,CWS,B,,,0,0,2024,-1.32,0.57,1.42,2.73,,,,2,4,Bot,,,,,686676,,,11.56126524186752,-134.34121757574565,-3.3602784299319937,-18.47863158836991,28.97496803172145,-24.666957035755367,3.09,1.4,,,,92.0,2095.0,6.1,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.43,,,,,,,,33,1,Sinker,0,5,0,5,5,0,0,5,Infield shade,Standard,229.0,0.0,0.015,,
FF,2024-09-29,95.6,-0.46,5.64,"Pérez, Wenceel",672761,672860,single,hit_into_play,,,,,4.0,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr.  Matt Vierling to 3rd.,R,L,R,DET,CWS,X,8.0,ground_ball,3,2,2024,-0.68,1.39,-0.6,2.39,,,663837.0,2,8,Bot,141.62,98.0,,,686676,,,1.1608972819562382,-139.24912132220877,-6.075426432981904,-9.052804430539592,30.867904433029835,-12.948675479245336,3.13,1.45,87.0,76.9,7.0,95.3,2345.0,6.0,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.47,0.266,0.259,0.9,1.0,1.0,0.0,2.0,75,6,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210.0,0.006,0.26,72.52668,7.03732
FF,2024-09-29,96.5,-0.63,5.64,"Pérez, Wenceel",672761,672860,,called_strike,,,,,11.0,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr.  Matt Vierling to 3rd.,R,L,R,DET,CWS,S,,,3,1,2024,-0.48,1.45,-0.12,3.42,,,663837.0,2,8,Bot,,,,,686676,,,2.460148353676006,-140.5404970519485,-3.6333750095395017,-6.931936439859103,32.09520175226578,-12.380553969743628,3.28,1.62,,,,96.2,2426.0,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.4,,,,,,,,75,5,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,209.0,0.0,-0.055,,
FF,2024-09-29,96.5,-0.32,5.73,"Pérez, Wenceel",672761,672860,,ball,,,,,12.0,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr.  Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,2,1,2024,-0.47,1.48,0.97,2.3,,,663837.0,2,8,Bot,,,,,686676,,,4.485280488597852,-140.3660094746459,-6.886425633284776,-7.237172907535742,32.02634534063969,-11.28374579255903,3.12,1.44,,,,96.1,2452.0,6.1,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,75,4,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,208.0,0.0,0.065,,
SL,2024-09-29,88.1,-0.6,5.69,"Pérez, Wenceel",672761,672860,,ball,,,,,13.0,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr.  Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,1,1,2024,0.19,0.32,-1.19,1.14,,,663837.0,2,8,Bot,,,,,686676,,,-1.8229203606240472,-128.2553056596196,-5.627523134676805,2.4779697156360485,25.129301149164853,-27.698523193304368,3.07,1.41,,,,87.7,2488.0,5.9,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.59,,,,,,,,75,3,Slider,4,9,4,9,9,4,4,9,Standard,Standard,182.0,0.0,0.043,,
CH,2024-09-29,85.8,-2.35,5.5,"Pérez, Wenceel",672761,686563,single,hit_into_play,,,,,4.0,Wenceel Pérez singles on a line drive to right fielder Dominic Fletcher.,R,L,R,DET,CWS,X,9.0,line_drive,3,2,2024,-1.03,0.38,-0.62,2.27,,,,1,2,Bot,171.79,92.95,,,686676,,,6.172550697909406,-124.78203358376904,-2.1457108180938693,-11.976876705030856,24.74618846479863,-27.99772943005277,3.13,1.45,252.0,97.4,14.0,85.7,1677.0,6.2,746416,686563,686676,683734,672820,678246,676070,676113,673357,666150,54.27,0.891,0.855,0.9,1.0,1.0,0.0,4.0,14,6,Changeup,0,2,0,2,2,0,0,2,Infield shade,Standard,246.0,0.027,0.218,71.93946,7.4474
FF,2024-09-29,98.0,-0.39,5.76,"Pérez, Wenceel",672761,672860,,ball,,,,,11.0,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr.  Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,0,1,2024,-0.51,1.34,-1.17,4.81,,,663837.0,2,8,Bot,,,,,686676,,,-0.921783830529872,-142.72241030333316,-0.1747795013984676,-6.771486774561171,33.27525129129094,-14.004548805200978,3.12,1.49,,,,97.5,2377.0,6.0,746416,672860,686676,683734,672820,678246,676070,676113,673357,666150,54.52,,,,,,,,75,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,206.0,0.0,0.027,,
