pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-07-23,94.2,0.46,5.76,"Flores, Wilmer",527038,681911,field_out,hit_into_play,,,,,11.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,X,4.0,popup,1,2,2024,0.54,1.58,-0.69,3.45,,624424.0,666149.0,0,9,Top,133.76,166.77,,,669257,,,-4.196308776125284,-137.2008696271949,-3.844235459029696,7.711353322895952,29.189434930114725,-11.525440941594242,3.17,1.48,92.0,65.7,70.0,94.6,2450.0,6.4,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,54.09,0.001,0.0,0.0,1.0,0.0,0.0,3.0,74,6,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,158.0,0.063,-0.345,60.22639,5.40397
SL,2024-07-23,84.6,0.47,5.91,"Flores, Wilmer",527038,681911,,foul,,,,,2.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,S,,,1,2,2024,-0.47,0.45,-0.23,2.9,,624424.0,666149.0,0,9,Top,,,,,669257,,,-0.691620167628089,-123.30921697181532,-1.694077345771427,-4.705852822384877,21.03670754566941,-27.37661960154951,3.17,1.48,146.0,93.7,67.0,84.8,2373.0,6.0,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,54.5,,,,,,,,74,5,Slider,5,2,2,5,2,5,2,5,Standard,Standard,208.0,0.0,0.0,73.42221,7.66654
FF,2024-07-23,92.9,0.64,5.76,"Flores, Wilmer",527038,681911,,foul,,,,,12.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,S,,,1,2,2024,0.66,1.76,0.62,3.47,,624424.0,666149.0,0,9,Top,,,,,669257,,,-1.4900902089366237,-135.31320185065317,-3.973201832602967,8.434919959031285,29.95381293563953,-9.945384405726704,3.17,1.48,222.0,77.2,53.0,93.3,2445.0,6.5,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,54.01,,,,,,,,74,4,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,154.0,0.0,0.0,61.86539,5.67771
SL,2024-07-23,85.5,0.34,5.93,"Flores, Wilmer",527038,681911,,blocked_ball,,,,,13.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,B,,,0,2,2024,-0.62,0.61,-0.63,-0.09,,624424.0,666149.0,0,9,Top,,,,,669257,,,-1.0314045866872446,-124.44101435549724,-9.188979726185226,-6.327061253495936,21.72005312300166,-24.386119236889574,3.28,1.61,,,,85.9,2389.0,6.2,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,54.27,,,,,,,,74,3,Slider,5,2,2,5,2,5,2,5,Standard,Standard,195.0,0.0,0.075,,
FF,2024-07-23,93.0,0.43,5.79,"Flores, Wilmer",527038,681911,,foul,,,,,2.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,S,,,0,1,2024,0.67,1.62,-0.11,3.18,,624424.0,666149.0,0,9,Top,,,,,669257,,,-2.858393122050885,-135.44584424814852,-4.49223168121002,8.879541571150098,29.16852702148681,-11.444297141821531,3.17,1.48,123.0,71.5,76.0,93.0,2440.0,6.2,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,54.3,,,,,,,,74,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,163.0,0.0,-0.143,64.66885,6.26929
FF,2024-07-23,93.1,0.48,5.79,"Flores, Wilmer",527038,681911,,foul,,,,,2.0,Wilmer Flores pops out to second baseman Gavin Lux on the infield fly rule.,R,R,L,LAD,SF,S,,,0,0,2024,0.33,1.69,0.14,2.9,,624424.0,666149.0,0,9,Top,,,,,669257,,,-1.6034345231169356,-135.59572677670795,-5.41898372341334,4.4545314763267845,28.03580109232916,-10.263083033957049,3.17,1.48,186.0,63.0,45.0,94.0,2470.0,6.7,746118,681911,669257,518692,666158,621035,571771,606192,681624,518792,53.85,,,,,,,,74,1,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,157.0,0.0,-0.091,63.07394,5.6669
SI,2024-07-20,90.7,2.3,5.92,"Flores, Wilmer",527038,607536,double,hit_into_play,,,,,8.0,Wilmer Flores doubles (12) on a line drive to center fielder Brenton Doyle.   Matt Chapman scores.,R,R,L,COL,SF,X,8.0,line_drive,0,0,2024,1.16,0.71,0.09,1.67,,,656305.0,2,6,Top,170.17,30.55,,,607732,,,-8.06504125678814,-131.9684604197741,-6.348761748673189,15.210756213750953,23.41378303059508,-22.807003440805108,3.18,1.46,386.0,97.8,23.0,91.9,2340.0,6.7,746527,607536,607732,669911,663898,641857,678662,656541,686668,595909,53.84,0.317,0.423,1.25,1.0,1.0,1.0,5.0,47,1,Sinker,4,2,2,4,3,4,3,4,Strategic,Strategic,143.0,-0.13,0.728,67.53252,7.1353
KC,2024-07-20,82.9,2.34,5.78,"Flores, Wilmer",527038,607536,double_play,hit_into_play,,,,,8.0,"Wilmer Flores lines into a double play, center fielder Brenton Doyle to first baseman Michael Toglia.   Heliot Ramos out at 1st.",R,R,L,COL,SF,X,8.0,line_drive,0,2,2024,-0.03,-0.14,0.05,1.4,,,671218.0,1,4,Top,139.09,90.11,,,607732,,,-5.226524561266476,-120.77342314056106,-3.382111909668364,0.5676556357260694,19.657827339035546,-33.18769704154612,3.18,1.46,274.0,76.6,27.0,84.1,2520.0,6.7,746527,607536,607732,669911,663898,641857,678662,656541,686668,595909,53.84,0.389,0.353,0.0,1.0,0.0,0.0,3.0,29,4,Knuckle Curve,2,1,1,2,1,2,1,2,Standard,Standard,340.0,0.065,-0.193,51.5791,6.98845
KC,2024-07-20,84.4,2.54,5.65,"Flores, Wilmer",527038,607536,,foul,,,,,14.0,"Wilmer Flores lines into a double play, center fielder Brenton Doyle to first baseman Michael Toglia.   Heliot Ramos out at 1st.",R,R,L,COL,SF,S,,,0,2,2024,0.04,-0.19,0.28,0.99,,,671218.0,1,4,Top,,,,,607732,,,-5.382409726752123,-122.95538757711088,-4.239251525324549,1.3977156039554917,21.584311052059103,-33.5010829231909,3.18,1.46,25.0,52.6,1.0,85.4,2512.0,6.6,746527,607536,607732,669911,663898,641857,678662,656541,686668,595909,53.87,,,,,,,,29,3,Knuckle Curve,2,1,1,2,1,2,1,2,Standard,Standard,323.0,0.0,0.0,60.4344,7.73542
SI,2024-07-20,91.1,2.37,5.89,"Flores, Wilmer",527038,607536,,foul,,,,,14.0,"Wilmer Flores lines into a double play, center fielder Brenton Doyle to first baseman Michael Toglia.   Heliot Ramos out at 1st.",R,R,L,COL,SF,S,,,0,1,2024,0.92,0.75,0.97,1.95,,,671218.0,1,4,Top,,,,,607732,,,-5.5426656415694975,-132.59466447960563,-5.738602901325866,11.971815661715802,23.23460788241933,-22.356179584885574,3.18,1.46,282.0,84.4,29.0,92.3,2336.0,6.6,746527,607536,607732,669911,663898,641857,678662,656541,686668,595909,53.9,,,,,,,,29,2,Sinker,2,1,1,2,1,2,1,2,Standard,Strategic,146.0,0.0,-0.06,64.37245,6.44227
