pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-09-27,92.8,3.06,5.76,"Hurter, Brant",643217,676428,field_out,hit_into_play,,,,,6,Andrew Benintendi flies out to left fielder Riley Greene.,R,L,L,DET,CWS,X,7.0,fly_ball,0,0,2024,1.05,0.43,0.39,2.35,,,,2,6,Top,94.32,96.64,,,668670,,,-9.094542540899354,-134.99810369720555,-3.909949280709412,14.676841061787195,26.2879692490618,-26.263022977239483,3.25,1.5,268.0,82.1,38.0,93.0,2222,6.2,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.33,0.017,0.019,0.0,1.0,0.0,0.0,3.0,43,1,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,130,0.017,-0.098,69.99983,6.30311
ST,2024-09-27,81.9,3.23,5.92,"Hurter, Brant",676113,676428,home_run,hit_into_play,,,,,3,Zach DeLoach homers (1) on a fly ball to right field.,R,L,L,DET,CWS,X,,fly_ball,0,0,2024,-0.69,0.24,0.33,2.96,,,,2,6,Top,224.59,69.34,,,668670,,,-5.216483842968235,-119.20866005543104,-0.5937594703625373,-5.576969106971458,22.445233689893296,-29.98709098059504,3.38,1.59,401.0,97.2,33.0,81.6,2576,6.0,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.45,0.251,0.39,2.0,1.0,0.0,3.0,5.0,42,1,Sweeper,2,0,0,2,1,2,1,2,Standard,Standard,300,-0.111,1.0,70.69298,6.87718
ST,2024-09-27,81.4,3.2,5.83,"Hurter, Brant",670032,676428,field_out,hit_into_play,,,,,5,Nicky Lopez grounds out to first baseman Spencer Torkelson.,R,L,L,DET,CWS,X,3.0,ground_ball,3,1,2024,-0.96,-0.08,0.08,1.89,,,,1,6,Top,158.2,166.16,,,668670,,,-5.12423713835634,-118.5158423220576,-2.130056750210713,-8.198930143611873,21.098460561894573,-32.714784849380614,3.0,1.33,9.0,89.5,-13.0,81.1,2626,5.9,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.57,0.109,0.104,0.0,1.0,0.0,0.0,2.0,41,5,Sweeper,2,0,0,2,0,2,0,2,Standard,Strategic,293,0.021,-0.268,67.35508,7.41252
SI,2024-09-27,92.4,3.04,5.85,"Hurter, Brant",670032,676428,,ball,,,,,4,Nicky Lopez grounds out to first baseman Spencer Torkelson.,R,L,L,DET,CWS,B,,,2,1,2024,1.15,0.48,-0.71,2.46,,,,1,6,Top,,,,,668670,,,-11.975096495020264,-134.09644863165482,-3.869611830544681,16.342380785375646,26.74105933691097,-25.69771292007493,3.03,1.37,,,,92.2,2159,6.2,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.35,,,,,,,,41,4,Sinker,2,0,0,2,0,2,0,2,Standard,Strategic,127,0.0,0.077,,
ST,2024-09-27,81.6,3.07,5.84,"Hurter, Brant",670032,676428,,swinging_strike,,,,,4,Nicky Lopez grounds out to first baseman Spencer Torkelson.,R,L,L,DET,CWS,S,,,2,0,2024,-0.66,-0.18,-0.36,1.93,,,,1,6,Top,,,,,668670,,,-6.413465887561604,-118.73198168177365,-1.9213661921516405,-5.1406698245634095,20.530835386731457,-33.72247534692603,3.0,1.33,,,,81.5,2601,6.0,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.49,,,,,,,,41,3,Sweeper,2,0,0,2,0,2,0,2,Standard,Strategic,304,0.0,-0.041,68.17532,8.21398
SI,2024-09-27,92.4,2.98,5.87,"Hurter, Brant",670032,676428,,ball,,,,,12,Nicky Lopez grounds out to first baseman Spencer Torkelson.,R,L,L,DET,CWS,B,,,1,0,2024,1.19,0.35,0.25,3.6,,,,1,6,Top,,,,,668670,,,-9.487962918854304,-134.27723002020818,-0.7340393029083867,16.35093165767716,27.5173015062077,-28.02812517848363,2.97,1.29,,,,92.1,2151,6.1,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.44,,,,,,,,41,2,Sinker,2,0,0,2,0,2,0,2,Standard,Strategic,129,0.0,0.045,,
SI,2024-09-27,91.0,3.19,5.86,"Hurter, Brant",670032,676428,,ball,,,,,12,Nicky Lopez grounds out to first baseman Spencer Torkelson.,R,L,L,DET,CWS,B,,,0,0,2024,1.09,0.33,1.8,3.37,,,,1,6,Top,,,,,668670,,,-5.815131114398593,-132.4720765199344,-1.059514225481324,14.075954853773348,28.162003906471043,-28.273680679499563,2.95,1.32,,,,90.9,2130,6.2,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.31,,,,,,,,41,1,Sinker,2,0,0,2,0,2,0,2,Standard,Strategic,130,0.0,0.024,,
SI,2024-09-27,91.9,3.11,5.88,"Hurter, Brant",666150,676428,field_out,hit_into_play,,,,,6,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,L,DET,CWS,X,6.0,ground_ball,1,1,2024,1.07,0.23,0.77,2.35,,,,0,6,Top,117.59,154.97,,,668670,,,-8.22423550123425,-133.7851896058428,-3.681237515709731,14.4642067722375,24.807381190953745,-28.88405971731082,3.2,1.52,5.0,79.1,-23.0,92.2,2036,6.2,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.34,0.04,0.034,0.0,1.0,0.0,0.0,2.0,40,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,129,0.03,-0.217,62.81358,5.55558
ST,2024-09-27,82.9,3.03,5.94,"Hurter, Brant",666150,676428,,ball,,,,,13,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,L,DET,CWS,B,,,0,1,2024,-0.78,0.17,-1.44,2.14,,,,0,6,Top,,,,,668670,,,-8.6323138793546,-120.60863696402934,-2.5966014172558376,-6.2663876462834045,20.018511137077294,-30.271774391927902,3.13,1.55,,,,82.9,2568,6.0,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.55,,,,,,,,40,2,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,298,0.0,0.023,,
ST,2024-09-27,81.2,3.19,5.94,"Hurter, Brant",666150,676428,,called_strike,,,,,6,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,L,DET,CWS,S,,,0,0,2024,-0.71,0.08,0.3,2.12,,,,0,6,Top,,,,,668670,,,-5.095761815751626,-118.29736023381986,-2.188422651327313,-5.927896936775194,19.22346206093533,-31.278016556779665,3.1,1.42,,,,81.4,2491,6.0,746417,676428,668670,679529,628451,663837,700242,682985,678009,672761,54.46,,,,,,,,40,1,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,293,0.0,-0.033,,
