pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2024-09-27,95.6,-2.43,5.58,"Hanifee, Brenan",682868,669724,field_out,hit_into_play,,,,,8,"Bryan Ramos grounds out, first baseman Spencer Torkelson to pitcher Brenan Hanifee.",R,R,R,DET,CWS,X,3.0,ground_ball,2,2,2024,-1.44,0.6,0.26,1.92,,,,2,2,Top,148.05,164.12,,,668670,,,10.280199951948177,-138.81689049736676,-5.34388709215831,-20.833637173329773,29.476728875625245,-23.397174160146,3.38,1.63,31.0,95.1,-2.0,95.3,1968,6.1,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.37,0.311,0.333,0.0,1.0,0.0,0.0,2.0,11,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,238,0.01,-0.084,71.02538,8.34167
SI,2024-09-27,94.5,-2.62,5.5,"Hanifee, Brenan",682868,669724,,ball,,,,,13,"Bryan Ramos grounds out, first baseman Spencer Torkelson to pitcher Brenan Hanifee.",R,R,R,DET,CWS,B,,,1,2,2024,-1.31,0.53,-1.4,1.38,,,,2,2,Top,,,,,668670,,,6.090123349222661,-137.56206732508747,-6.263526810664908,-18.002022053297992,27.57471212691939,-24.35398903183408,3.4,1.66,,,,94.8,1915,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.3,,,,,,,,11,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,239,0.0,0.015,,
SL,2024-09-27,87.7,-2.53,5.48,"Hanifee, Brenan",682868,669724,,ball,,,,,14,"Bryan Ramos grounds out, first baseman Spencer Torkelson to pitcher Brenan Hanifee.",R,R,R,DET,CWS,B,,,0,2,2024,0.21,0.21,2.11,-0.33,,,,2,2,Top,,,,,668670,,,10.758458708600092,-127.18768279654036,-8.358456512490159,0.2935902641806275,23.962835342138188,-28.436415454905013,3.34,1.61,,,,87.8,2258,6.4,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.14,,,,,,,,11,3,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,99,0.0,0.009,,
SL,2024-09-27,87.6,-2.57,5.44,"Hanifee, Brenan",682868,669724,,foul,,,,,8,"Bryan Ramos grounds out, first baseman Spencer Torkelson to pitcher Brenan Hanifee.",R,R,R,DET,CWS,S,,,0,1,2024,-0.11,0.35,0.18,1.92,,,,2,2,Top,,,,,668670,,,6.85639459650147,-127.57085196076775,-3.195944418304885,-2.352806603514518,21.95264315251923,-27.93327341348313,3.38,1.63,116.0,74.4,10.0,88.1,2232,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.33,,,,,,,,11,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,149,0.0,-0.022,72.09189,8.70837
SI,2024-09-27,94.7,-2.6,5.57,"Hanifee, Brenan",682868,669724,,called_strike,,,,,3,"Bryan Ramos grounds out, first baseman Spencer Torkelson to pitcher Brenan Hanifee.",R,R,R,DET,CWS,S,,,0,0,2024,-1.37,0.55,0.54,2.89,,,,2,2,Top,,,,,668670,,,11.197887489645774,-137.69361390822303,-2.651928864845992,-19.704510059221388,24.321619412471115,-24.745359140706025,3.37,1.66,,,,95.2,1963,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.31,,,,,,,,11,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,239,0.0,-0.016,,
SI,2024-09-27,93.8,-2.62,5.49,"Hanifee, Brenan",672820,669724,field_out,hit_into_play,,,,,4,"Lenyn Sosa grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,R,DET,CWS,X,5.0,ground_ball,1,0,2024,-1.22,0.48,-0.65,2.23,,,,1,2,Top,105.41,174.3,,,668670,,,7.766712046098934,-136.48854991463836,-3.826828245899767,-16.869922721262036,26.58557341995948,-25.59115169630061,3.31,1.57,4.0,87.1,-30.0,94.1,2054,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.32,0.077,0.076,0.0,1.0,0.0,0.0,2.0,10,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,238,0.017,-0.186,74.60536,6.79029
SI,2024-09-27,93.2,-2.63,5.46,"Hanifee, Brenan",672820,669724,,ball,,,,,14,"Lenyn Sosa grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,R,DET,CWS,B,,,0,0,2024,-1.06,0.44,0.65,1.1,,,,1,2,Top,,,,,668670,,,10.686449196510882,-135.35948602999005,-6.481412161201041,-15.178290681683052,24.110556825149377,-25.602087309831138,3.14,1.45,,,,93.5,1968,6.1,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.35,,,,,,,,10,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,239,0.0,0.024,,
FF,2024-09-27,94.1,-2.66,5.48,"Hanifee, Brenan",657757,669724,field_out,hit_into_play,,,,,1,Gavin Sheets flies out to left fielder Riley Greene.,R,L,R,DET,CWS,X,7.0,fly_ball,0,0,2024,-1.03,0.94,-0.68,3.02,,,,0,2,Top,39.28,92.11,,,668670,,,7.425814835543519,-136.78680207022788,-2.737850433109147,-14.619438033987114,30.44016741651015,-19.94579990841094,3.3,1.64,339.0,95.3,31.0,93.8,2178,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.31,0.171,0.263,0.0,1.0,0.0,0.0,5.0,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,234,0.023,-0.227,73.29845,6.91131
SL,2024-09-27,87.8,-2.48,5.5,"Hanifee, Brenan",683734,669724,field_out,hit_into_play,,,,,8,Andrew Vaughn pops out to shortstop Trey Sweeney.,R,R,R,DET,CWS,X,6.0,popup,1,2,2024,0.2,0.18,0.26,1.76,676113.0,,,2,1,Top,125.34,156.57,,,668670,,,6.183845328615808,-127.6970637173856,-3.3277572378985965,0.9829170379932458,25.84295265111985,-29.68318981151065,3.18,1.49,113.0,82.2,67.0,87.7,2266,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.3,0.001,0.0,0.0,1.0,0.0,0.0,3.0,4,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,116,0.036,-0.227,64.51806,8.00935
SI,2024-09-27,94.7,-2.64,5.49,"Hanifee, Brenan",683734,669724,,foul,,,,,11,Andrew Vaughn pops out to shortstop Trey Sweeney.,R,R,R,DET,CWS,S,,,1,2,2024,-1.55,0.46,-1.08,2.44,676113.0,,,2,1,Top,,,,,668670,,,7.52454852567797,-137.80396554905937,-3.34029733279844,-21.42474667054316,28.821220758648888,-25.78282106275967,3.18,1.49,,,,94.9,2105,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.25,,,,,,,,4,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,239,0.0,0.0,67.72612,7.00838
FF,2024-09-27,96.8,-2.45,5.63,"Hanifee, Brenan",683734,669724,,foul,,,,,1,Andrew Vaughn pops out to shortstop Trey Sweeney.,R,R,R,DET,CWS,S,,,1,2,2024,-0.97,1.19,-0.32,3.18,676113.0,,,2,1,Top,,,,,668670,,,7.862876335585211,-140.711435717228,-3.653854390375755,-14.734171102635692,33.30831523945642,-15.713965104317776,3.18,1.49,184.0,81.8,68.0,96.3,2100,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.34,,,,,,,,4,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,232,0.0,0.0,64.44656,6.69209
SI,2024-09-27,95.3,-2.64,5.45,"Hanifee, Brenan",683734,669724,,swinging_strike,,,,,13,Andrew Vaughn pops out to shortstop Trey Sweeney.,R,R,R,DET,CWS,S,,,1,1,2024,-1.33,0.5,-1.48,1.75,676113.0,,,2,1,Top,,,,,668670,,,6.0114437493762685,-138.64256842849565,-5.181867996393586,-18.52963067853341,30.815723901962773,-24.79228175121036,3.18,1.49,,,,95.1,2060,6.2,746417,669724,668670,679529,628451,663837,700242,682985,678009,672761,54.34,,,,,,,,4,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,237,0.0,-0.091,69.5547,7.05896
