pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-08-25,90.4,2.2,5.67,"Sammons, Bryan",657757,676614,field_out,hit_into_play,,,,,6,Gavin Sheets pops out to shortstop Trey Sweeney on the infield fly rule.,R,L,L,CWS,DET,X,6.0,popup,1,0,2024,1.04,1.38,0.41,2.43,,643217.0,683734.0,0,6,Bot,118.56,158.68,,,693307,,,-6.732777289409296,-131.53906286950814,-5.127723143362989,13.52740073611444,26.85032123857669,-15.180786097807673,3.4,1.69,132.0,76.2,64.0,91.2,2055,6.7,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.84,0.001,0.0,0.0,1.0,0.0,0.0,3.0,53,2,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,138,-0.082,-0.596,71.28428,7.50542
ST,2024-08-25,80.2,2.27,5.7,"Sammons, Bryan",657757,676614,,ball,,,,,13,Gavin Sheets pops out to shortstop Trey Sweeney on the infield fly rule.,R,L,L,CWS,DET,B,,,0,0,2024,-0.59,0.57,-2.82,2.43,,643217.0,683734.0,0,6,Bot,,,,,693307,,,-10.17458393014632,-116.4473262694094,-1.6225181660946792,-3.579275230072608,20.401594512740655,-26.87127187959196,3.28,1.6,,,,80.5,2445,6.5,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,54.04,,,,,,,,53,1,Sweeper,3,5,3,5,5,3,3,5,Standard,Standard,268,0.0,0.093,,
CH,2024-08-25,82.8,2.16,5.33,"Sammons, Bryan",683734,676614,walk,blocked_ball,,,,,13,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,B,,,3,2,2024,1.08,0.1,-0.29,-0.01,,,643217.0,0,6,Bot,,,,,693307,,,-7.764774697809182,-120.34443786519928,-5.983066945600079,11.919772055077724,21.65251735752616,-30.28214531751975,3.16,1.5,,,,83.9,1144,6.9,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.6,,0.689131,0.7,1.0,0.0,0.0,,52,6,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,122,0.088,0.435,,
ST,2024-08-25,80.3,2.32,5.44,"Sammons, Bryan",683734,676614,,swinging_strike,,,,,13,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,S,,,3,1,2024,-0.92,0.16,-0.94,0.9,,,643217.0,0,6,Bot,,,,,693307,,,-5.508386161058758,-116.82838156578308,-3.7027442865064777,-7.507840576903153,20.91469080713204,-30.245284413864574,3.16,1.51,,,,80.9,2405,6.6,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.93,,,,,,,,52,5,Sweeper,3,5,3,5,5,3,3,5,Standard,Standard,283,0.0,-0.055,71.257,9.12356
FF,2024-08-25,89.9,2.22,5.67,"Sammons, Bryan",683734,676614,,called_strike,,,,,5,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,S,,,3,0,2024,1.1,1.01,-0.09,2.08,,,643217.0,0,6,Bot,,,,,693307,,,-8.08691625952595,-130.58084965010352,-5.026593216928548,14.346915891646088,28.484103213499797,-19.76821176727,3.12,1.48,,,,90.1,2065,6.6,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.93,,,,,,,,52,4,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,139,0.0,-0.117,,
CH,2024-08-25,81.3,2.15,5.45,"Sammons, Bryan",683734,676614,,ball,,,,,13,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,B,,,2,0,2024,0.61,0.24,-0.57,1.16,,,643217.0,0,6,Bot,,,,,693307,,,-7.349465390678981,-118.17984375386922,-3.4889013346685664,7.087194698300081,22.47529148684509,-29.415809609033825,3.17,1.44,,,,82.1,1041,6.9,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.6,,,,,,,,52,3,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,118,0.0,0.167,,
CH,2024-08-25,80.5,2.23,5.37,"Sammons, Bryan",683734,676614,,ball,,,,,13,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,B,,,1,0,2024,0.48,0.63,-1.32,2.04,,,643217.0,0,6,Bot,,,,,693307,,,-8.894796461092342,-116.95154687804364,-1.9384717845229027,6.059863856734988,21.11815292138058,-26.179334053325157,3.21,1.51,,,,81.4,1025,6.9,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,53.61,,,,,,,,52,2,Changeup,3,5,3,5,5,3,3,5,Standard,Standard,111,0.0,0.102,,
CU,2024-08-25,76.3,1.99,5.82,"Sammons, Bryan",683734,676614,,blocked_ball,,,,,13,Andrew Vaughn walks.   Andrew Benintendi to 2nd.,R,R,L,CWS,DET,B,,,0,0,2024,-0.03,-0.97,-0.4,0.31,,,643217.0,0,6,Bot,,,,,693307,,,-4.98140648309986,-111.0518303547064,-2.80010732933727,0.6723994970588335,20.18663232050056,-39.88677021674813,3.0,1.43,,,,76.3,2298,6.3,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,54.19,,,,,,,,52,1,Curveball,3,5,3,5,5,3,3,5,Standard,Standard,323,0.0,0.062,,
ST,2024-08-25,79.6,2.04,5.65,"Sammons, Bryan",643217,676614,walk,ball,,,,,13,Andrew Benintendi walks.,R,L,L,CWS,DET,B,,,3,1,2024,-0.49,0.27,-0.64,1.09,,,,0,6,Bot,,,,,693307,,,-4.99517709436693,-115.96127600000176,-3.852916860042392,-3.6359936866545146,19.49606909929811,-29.261682659109034,3.08,1.29,,,,80.2,2368,6.4,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,54.09,,0.689131,0.7,1.0,0.0,0.0,,51,5,Sweeper,3,5,3,5,5,3,3,5,Standard,Standard,270,0.059,0.258,,
FF,2024-08-25,91.9,1.97,5.79,"Sammons, Bryan",643217,676614,,ball,,,,,13,Andrew Benintendi walks.,R,L,L,CWS,DET,B,,,2,1,2024,0.83,1.22,-1.27,0.5,,,,0,6,Bot,,,,,693307,,,-10.003319785073264,-133.31492991727688,-10.307439877524104,11.692981789632071,22.345938825126904,-15.694065100369633,3.11,1.38,,,,92.8,2116,6.5,746754,676614,693307,679529,690993,690291,700242,628451,678009,681481,54.01,,,,,,,,51,4,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,147,0.0,0.109,,
