pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-28,97.3,-2.03,5.69,"Jobe, Jackson",678246,695549,field_out,hit_into_play,,,,,7,Miguel Vargas flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,X,9.0,fly_ball,2,1,2024,-0.68,1.33,-0.38,2.09,,,,2,5,Top,158.81,85.07,,,693307,,,5.978697960334756,-141.42601583683367,-7.208253125181654,-10.44497170898427,31.28796620196492,-12.894786515211305,3.27,1.56,295.0,83.9,36.0,97.5,2381,6.4,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.13,0.02,0.031,0.0,1.0,0.0,0.0,3.0,34,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,208,0.011,-0.117,73.30473,8.06556
FF,2024-09-28,97.8,-1.94,5.84,"Jobe, Jackson",678246,695549,,ball,,,,,12,Miguel Vargas flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,B,,,1,1,2024,-0.51,1.41,0.05,4.63,,,,2,5,Top,,,,,693307,,,6.524292257903093,-142.3012542040148,-1.007498732999729,-8.468057896917227,32.02988058612695,-13.01334999609708,3.38,1.62,,,,97.7,2331,6.2,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.31,,,,,,,,34,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,203,0.0,0.023,,
CH,2024-09-28,87.0,-2.03,5.5,"Jobe, Jackson",678246,695549,,ball,,,,,2,Miguel Vargas flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,B,,,0,1,2024,-0.87,1.01,0.23,3.43,,,,2,5,Top,,,,,693307,,,7.180263173709752,-126.65810888228044,-0.9000019004445595,-10.816361051299824,24.27567458242521,-21.32363849824312,3.33,1.59,,,,86.9,1773,6.1,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.42,,,,,,,,34,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,245,0.0,0.011,,
ST,2024-09-28,82.3,-2.35,5.57,"Jobe, Jackson",678246,695549,,called_strike,,,,,9,Miguel Vargas flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,S,,,0,0,2024,1.37,-0.03,0.73,2.16,,,,2,5,Top,,,,,693307,,,4.313086448288104,-119.81201293282508,-1.0934342714216485,12.190573164123158,25.410600671489476,-32.461981212171054,3.43,1.62,,,,81.7,2724,6.1,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.41,,,,,,,,34,1,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,63,0.0,-0.016,,
FF,2024-09-28,95.8,-1.98,5.8,"Jobe, Jackson",676070,695549,field_out,hit_into_play,,,,,5,Jacob Amaya grounds out to first baseman Spencer Torkelson.,R,R,R,DET,CWS,X,3.0,ground_ball,0,0,2024,-0.92,1.46,0.11,2.01,,,,1,5,Top,150.24,159.35,,,693307,,,7.558746068254972,-139.21956396929232,-7.691754984882358,-13.584934974897376,30.56513739134497,-11.55784759933436,3.14,1.46,50.0,101.6,0.0,95.7,2350,6.3,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.24,0.451,0.41,0.0,1.0,0.0,0.0,4.0,33,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,211,0.017,-0.161,66.286,6.84198
CH,2024-09-28,86.7,-2.2,5.44,"Jobe, Jackson",642020,695549,strikeout,called_strike,,,,,1,Chuckie Robinson called out on strikes.,R,R,R,DET,CWS,S,2.0,,2,2,2024,-1.12,0.68,-0.79,3.09,,,,0,5,Top,,,,,693307,,,5.65810417681318,-126.20929409245228,-0.8507560982612615,-13.0825732272242,23.990779687917552,-24.902061819719936,3.51,1.72,,,,86.9,1705,6.2,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.26,,0.0,0.0,1.0,0.0,0.0,,32,5,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,248,0.023,-0.203,,
FC,2024-09-28,90.8,-2.23,5.61,"Jobe, Jackson",642020,695549,,foul,,,,,9,Chuckie Robinson called out on strikes.,R,R,R,DET,CWS,S,,,2,1,2024,0.56,0.88,0.83,2.02,,,,0,5,Top,,,,,693307,,,6.438387159967396,-132.17551240529232,-5.021666527497755,5.486452731684855,23.94389070545038,-21.02883026875704,3.43,1.66,222.0,77.9,53.0,91.2,2624,6.2,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.34,,,,,,,,32,4,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,166,0.0,-0.061,69.05478,7.37447
FF,2024-09-28,97.2,-2.01,5.82,"Jobe, Jackson",642020,695549,,ball,,,,,11,Chuckie Robinson called out on strikes.,R,R,R,DET,CWS,B,,,1,1,2024,-0.69,1.6,-0.67,4.02,,,,0,5,Top,,,,,693307,,,5.148005934140618,-141.47188174919194,-2.9534222447990675,-10.451370350107284,31.250899311624337,-10.212379328492146,3.51,1.72,,,,96.9,2380,6.0,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.45,,,,,,,,32,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Strategic,210,0.0,0.047,,
FF,2024-09-28,96.7,-2.11,5.88,"Jobe, Jackson",642020,695549,,ball,,,,,11,Chuckie Robinson called out on strikes.,R,R,R,DET,CWS,B,,,0,1,2024,-0.8,1.42,-1.28,2.68,,,,0,5,Top,,,,,693307,,,4.015180839540207,-140.7898082799089,-6.244146795036703,-11.507820694446364,29.60669439924398,-11.98985336581686,3.51,1.75,,,,96.6,2424,6.1,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.44,,,,,,,,32,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Strategic,211,0.0,0.023,,
ST,2024-09-28,83.2,-2.33,5.61,"Jobe, Jackson",642020,695549,,called_strike,,,,,8,Chuckie Robinson called out on strikes.,R,R,R,DET,CWS,S,,,0,0,2024,1.32,-0.1,-0.01,2.07,,,,0,5,Top,,,,,693307,,,2.7262140061811686,-121.13655324810766,-1.4824986018531765,12.437839546876404,23.583958836117784,-33.071259750008494,3.61,1.75,,,,82.7,3018,5.9,746414,695549,693307,679529,690993,690291,656716,672761,678009,681481,54.59,,,,,,,,32,1,Sweeper,0,1,1,0,1,0,1,0,Standard,Standard,67,0.0,-0.033,,
