pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-29,93.4,-2.41,5.69,"Montero, Keider",676070,672456,strikeout,swinging_strike,,,,,2,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,S,2.0,,2,2,2024,-0.55,1.23,-0.15,3.24,,,,2,9,Top,,,,,668670,,,7.019703849013807,-135.93572131915994,-3.279316171134067,-8.250465835366658,28.42020317870423,-16.373506998025643,3.14,1.46,,,,93.6,2093,6.3,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.21,,0.0,0.0,1.0,0.0,0.0,,81,6,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Strategic,214,0.001,-0.084,60.56906,5.47106
KC,2024-09-29,77.2,-2.18,5.91,"Montero, Keider",676070,672456,,foul,,,,,6,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,S,,,2,2,2024,1.44,-0.63,0.75,2.03,,,,2,9,Top,,,,,668670,,,3.6036598088902254,-112.3946638220707,-0.1112937460018557,11.438726038315128,22.015608936100545,-37.6921507772058,3.14,1.46,158.0,62.8,38.0,76.9,2772,6.3,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.24,,,,,,,,81,5,Knuckle Curve,5,9,9,5,9,5,9,5,Standard,Strategic,41,0.0,0.0,64.18134,7.12446
SL,2024-09-29,82.3,-2.52,5.74,"Montero, Keider",676070,672456,,foul,,,,,5,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,S,,,2,1,2024,0.96,0.27,0.03,2.56,,,,2,9,Top,,,,,668670,,,3.9255655091165886,-119.81323697533256,-1.2491897959474585,8.531254695475786,22.32128589653357,-29.500480808443708,3.14,1.46,192.0,70.1,51.0,82.5,2648,6.3,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.17,,,,,,,,81,4,Slider,5,9,9,5,9,5,9,5,Standard,Strategic,65,0.0,-0.032,69.12978,6.99819
KC,2024-09-29,76.2,-2.12,5.87,"Montero, Keider",676070,672456,,ball,,,,,11,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,B,,,1,1,2024,1.12,-0.87,-0.15,3.31,,,,2,9,Top,,,,,668670,,,2.1031544185101634,-110.90672924147934,3.2278775925947967,8.891284392533349,20.03633622140505,-40.135427034935866,3.1,1.36,,,,76.0,2692,6.2,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.33,,,,,,,,81,3,Knuckle Curve,5,9,9,5,9,5,9,5,Standard,Strategic,39,0.0,0.023,,
FF,2024-09-29,91.6,-2.5,5.65,"Montero, Keider",676070,672456,,ball,,,,,11,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,B,,,0,1,2024,-0.44,1.2,-0.77,3.45,,,,2,9,Top,,,,,668670,,,5.317839515360999,-133.50043909655722,-2.360263856522523,-6.302554898183343,25.468069401407337,-17.408387881470176,3.12,1.41,,,,92.0,2096,6.2,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.31,,,,,,,,81,2,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Strategic,211,0.0,0.011,,
FF,2024-09-29,92.3,-2.61,5.51,"Montero, Keider",676070,672456,,called_strike,,,,,13,Jacob Amaya strikes out swinging.,R,R,R,DET,CWS,S,,,0,0,2024,-0.54,1.16,-0.85,2.28,,,,2,9,Top,,,,,668670,,,5.666475678893324,-134.368895383988,-4.96099361512804,-7.728939263046543,26.208670208452816,-17.25393380132164,3.23,1.54,,,,92.7,2005,6.3,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.24,,,,,,,,81,1,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Strategic,222,0.0,-0.016,,
CH,2024-09-29,85.4,-2.56,5.62,"Montero, Keider",666150,672456,field_out,hit_into_play,,,,,4,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,R,DET,CWS,X,6.0,ground_ball,1,2,2024,-1.13,0.36,-0.42,2.61,,,,1,9,Top,114.71,151.91,,,668670,,,7.301374565941664,-124.34739223245018,-1.6036019213192885,-13.102299205149617,21.87937171703216,-28.279337429906438,3.19,1.51,27.0,89.6,-3.0,85.9,1850,6.3,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.19,0.246,0.198,0.0,1.0,0.0,0.0,2.0,80,4,Changeup,5,9,9,5,9,5,9,5,Infield shade,Standard,231,0.001,-0.115,67.11312,6.41775
KC,2024-09-29,76.7,-2.16,5.81,"Montero, Keider",666150,672456,,called_strike,,,,,5,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,1,1,2024,1.48,-0.64,-0.22,2.34,,,,1,9,Top,,,,,668670,,,1.4209661778854672,-111.72994317997112,0.8322206976245994,12.08868522552264,21.11669316394272,-37.87615860543466,3.02,1.39,,,,76.3,2856,6.1,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.42,,,,,,,,80,3,Knuckle Curve,5,9,9,5,9,5,9,5,Standard,Standard,42,0.0,-0.039,,
FF,2024-09-29,92.2,-2.74,5.56,"Montero, Keider",666150,672456,,called_strike,,,,,8,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,1,0,2024,-0.54,1.22,0.23,1.44,,,,1,9,Top,,,,,668670,,,8.736157663060094,-133.90392026219808,-7.353558693919395,-8.305442682893837,26.12098526291684,-16.05278548513081,3.12,1.52,,,,92.8,2065,6.5,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,53.96,,,,,,,,80,2,4-Seam Fastball,5,9,9,5,9,5,9,5,Standard,Standard,225,0.0,-0.032,,
SL,2024-09-29,83.4,-2.47,5.72,"Montero, Keider",666150,672456,,ball,,,,,14,"Dominic Fletcher grounds out, shortstop Trey Sweeney to first baseman Spencer Torkelson.",R,L,R,DET,CWS,B,,,0,0,2024,0.44,0.01,0.64,0.8,,,,1,9,Top,,,,,668670,,,6.268822996072342,-121.44224048560712,-4.974056354007458,3.345818700245621,20.526078182821056,-31.43157466851569,3.07,1.46,,,,83.8,2671,6.2,746416,672456,668670,679529,690291,663837,700242,682985,678009,672761,54.3,,,,,,,,80,1,Slider,5,9,9,5,9,5,9,5,Standard,Standard,68,0.0,0.024,,
