pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-07,93.4,-1.68,5.67,"Vanasco, Ricky",669397,676568,field_out,hit_into_play,,,,,5,"Nick Allen grounds out, second baseman Colt Keith to first baseman Spencer Torkelson.",R,R,R,OAK,DET,X,4.0,ground_ball,1,0,2024,-0.94,1.43,0.09,2.5,,,,2,7,Bot,131.5,157.18,,,668670,,,6.709089232416353,-135.83314115479524,-5.580899824422761,-13.16002741714297,30.399980758065222,-13.46539148292038,3.07,1.41,31.0,95.9,-3.0,94.3,2093,6.9,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.62,0.311,0.303,0.0,1.0,0.0,0.0,2.0,55,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,214,-0.023,-0.114,63.85865,5.64458
FF,2024-09-07,94.1,-1.75,5.75,"Vanasco, Ricky",669397,676568,,ball,,,,,11,"Nick Allen grounds out, second baseman Colt Keith to first baseman Spencer Torkelson.",R,R,R,OAK,DET,B,,,0,0,2024,-0.75,1.43,-1.2,4.46,,,,2,7,Bot,,,,,668670,,,3.137539713682978,-137.08329009075678,-0.8406303818957909,-10.127459983376111,29.84010814321512,-14.104284547502791,2.91,1.33,,,,95.5,2192,7.0,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.5,,,,,,,,55,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,215,0.0,0.015,,
FF,2024-09-07,96.3,-1.64,5.81,"Vanasco, Ricky",680869,676568,field_out,hit_into_play,,,,,1,Zack Gelof flies out to right fielder Matt Vierling.,R,R,R,OAK,DET,X,9.0,fly_ball,2,1,2024,-0.93,1.46,-0.29,3.02,,,,1,7,Bot,186.06,122.99,,,668670,,,5.762805472971358,-140.10718683263246,-5.18878464585562,-13.601713433167918,32.65528960544172,-11.918680386792982,3.49,1.58,241.0,93.4,57.0,97.2,2278,6.9,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.61,0.011,0.01,0.0,1.0,0.0,0.0,3.0,54,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,213,-0.035,-0.191,70.37816,6.74549
SL,2024-09-07,87.9,-1.76,5.76,"Vanasco, Ricky",680869,676568,,ball,,,,,14,Zack Gelof flies out to right fielder Matt Vierling.,R,R,R,OAK,DET,B,,,1,1,2024,0.1,0.05,1.43,1.41,,,,1,7,Bot,,,,,668670,,,7.583227488629296,-127.93896523744569,-4.645909383091103,-0.2984616750809765,23.66225673020979,-30.91176363734243,3.49,1.64,,,,88.9,2015,6.7,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.81,,,,,,,,54,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,23,0.0,0.037,,
SL,2024-09-07,87.9,-1.85,5.72,"Vanasco, Ricky",680869,676568,,ball,,,,,2,Zack Gelof flies out to right fielder Matt Vierling.,R,R,R,OAK,DET,B,,,0,1,2024,0.07,0.19,0.08,3.54,,,,1,7,Bot,,,,,668670,,,4.55302464626291,-127.99693833333406,0.4217122365838741,-0.1233129210637627,25.166977168590886,-30.39314700359547,3.44,1.59,,,,88.8,1950,6.7,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.81,,,,,,,,54,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,111,0.0,0.015,,
FF,2024-09-07,95.0,-1.64,5.72,"Vanasco, Ricky",680869,676568,,foul,,,,,2,Zack Gelof flies out to right fielder Matt Vierling.,R,R,R,OAK,DET,S,,,0,0,2024,-0.92,1.55,-0.02,3.39,,,,1,7,Bot,,,,,668670,,,6.381041086078317,-138.09632852748635,-3.934427097387044,-13.2818619024633,32.09536988356642,-11.651774305542224,3.49,1.58,252.0,78.5,31.0,95.9,2266,6.9,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.55,,,,,,,,54,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,211,0.0,-0.023,74.22158,6.63289
FF,2024-09-07,94.2,-1.69,5.79,"Vanasco, Ricky",663662,676568,field_out,hit_into_play,,,,,2,"Daz Cameron grounds out, shortstop Ryan Kreidler to first baseman Spencer Torkelson.",R,R,R,OAK,DET,X,6.0,ground_ball,1,0,2024,-1.05,1.22,-0.16,3.19,,,,0,7,Bot,111.93,155.09,,,668670,,,6.3692822334245,-137.04917359201664,-3.74777793351308,-14.64323391102902,31.78625239572329,-16.224726871935054,3.44,1.53,22.0,106.5,-7.0,95.1,2227,6.9,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.58,0.357,0.347,0.0,1.0,0.0,0.0,2.0,53,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212,-0.049,-0.262,73.27656,6.16994
FF,2024-09-07,95.0,-1.77,5.81,"Vanasco, Ricky",663662,676568,,ball,,,,,11,"Daz Cameron grounds out, shortstop Ryan Kreidler to first baseman Spencer Torkelson.",R,R,R,OAK,DET,B,,,0,0,2024,-1.04,1.37,-1.31,3.4,,,,0,7,Bot,,,,,668670,,,3.5774932728073825,-138.3465934391358,-3.7250165966922766,-14.162665944609325,32.202488530469104,-14.039422583492746,3.55,1.59,,,,95.8,2232,6.8,745613,676568,668670,679529,690993,690291,668952,682985,678009,663837,53.7,,,,,,,,53,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,212,0.0,0.034,,
FC,2024-09-05,95.4,-1.54,5.67,"Vanasco, Ricky",595777,676568,field_out,hit_into_play,,,,,6,"Jurickson Profar grounds out, second baseman Colt Keith to first baseman Spencer Torkelson.",R,L,R,SD,DET,X,4.0,ground_ball,0,2,2024,-0.17,1.34,0.36,2.31,,,,2,8,Bot,151.53,154.05,,,668670,,,5.482286174093693,-138.72611047593116,-6.24090184978575,-3.5262843918071294,33.87617726836363,-13.735905580609716,3.33,1.56,9.0,97.0,-14.0,96.4,2147,7.1,745369,676568,668670,679529,690993,663837,628451,682985,678009,681481,53.4,0.217,0.191,0.0,1.0,0.0,0.0,2.0,60,3,Cutter,3,0,3,0,0,3,3,0,Infield shade,Standard,205,-0.001,-0.06,65.75372,6.33543
SL,2024-09-05,86.6,-1.85,5.64,"Vanasco, Ricky",595777,676568,,called_strike,,,,,5,"Jurickson Profar grounds out, second baseman Colt Keith to first baseman Spencer Torkelson.",R,L,R,SD,DET,S,,,0,1,2024,0.18,-0.07,0.16,2.62,,,,2,8,Bot,,,,,668670,,,4.472403875258359,-126.01488587007026,-0.8183551459442939,0.8470688492363697,28.51324332356874,-32.94767156454041,3.35,1.56,,,,87.0,2111,6.8,745369,676568,668670,679529,690993,663837,628451,682985,678009,681481,53.72,,,,,,,,60,2,Slider,3,0,3,0,0,3,3,0,Standard,Standard,36,0.0,-0.022,,
