pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FS,2024-09-28,80.5,2.94,5.51,"Guenther, Sean",676070,674944,strikeout,swinging_strike,,,,,13,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,S,2.0,,3,2,2024,0.81,-0.36,-0.64,0.98,,,,2,9,Top,,,,,693307,,,-9.451479820172857,-116.99217197739634,-2.716021370081993,9.101312372147069,20.331304326496998,-35.19036611082106,3.14,1.46,,,,80.7,981,6.3,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.19,,0.0,0.0,1.0,0.0,0.0,,64,6,Split-Finger,0,4,4,0,4,0,4,0,Standard,Strategic,82,0.001,-0.125,42.26213,7.06021
SI,2024-09-28,89.0,2.87,5.5,"Guenther, Sean",676070,674944,,ball,,,,,11,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,B,,,2,2,2024,1.21,0.52,-1.02,2.63,,,,2,9,Top,,,,,693307,,,-12.028593961979269,-129.09738558349383,-2.062082735106538,15.93594394986518,25.803061806468524,-26.13537838874932,3.13,1.5,,,,88.9,2052,6.3,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.19,,,,,,,,64,5,Sinker,0,4,4,0,4,0,4,0,Standard,Strategic,132,0.0,0.041,,
SL,2024-09-28,78.3,3.26,5.47,"Guenther, Sean",676070,674944,,called_strike,,,,,6,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,S,,,2,1,2024,-1.05,-0.01,0.79,2.58,,,,2,9,Top,,,,,693307,,,-3.4036330118448315,-113.97899019935991,0.6375303151511149,-8.528394818921647,20.748474031346856,-32.63309575439535,3.21,1.52,,,,78.1,2392,6.1,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.38,,,,,,,,64,4,Slider,0,4,4,0,4,0,4,0,Standard,Strategic,311,0.0,-0.032,,
FS,2024-09-28,81.6,3.0,5.5,"Guenther, Sean",676070,674944,,ball,,,,,14,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,B,,,1,1,2024,0.94,-0.27,1.23,2.03,,,,2,9,Top,,,,,693307,,,-5.793098393848044,-118.69429212748928,-0.6975512601661766,9.97004768313039,21.929389798244426,-34.860512530690244,3.18,1.52,,,,81.7,948,6.3,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.17,,,,,,,,64,3,Split-Finger,0,4,4,0,4,0,4,0,Standard,Strategic,89,0.0,0.023,,
SI,2024-09-28,89.0,3.02,5.56,"Guenther, Sean",676070,674944,,called_strike,,,,,12,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,S,,,1,0,2024,1.13,0.45,0.52,3.54,,,,2,9,Top,,,,,693307,,,-8.458986724060098,-129.36304505129007,0.1634402267568093,14.44593002678141,26.658787647728616,-27.41638990426691,3.31,1.57,,,,88.8,2025,6.2,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.29,,,,,,,,64,2,Sinker,0,4,4,0,4,0,4,0,Standard,Strategic,132,0.0,-0.02,,
SL,2024-09-28,79.7,3.32,5.45,"Guenther, Sean",676070,674944,,ball,,,,,13,Jacob Amaya strikes out swinging.,R,R,L,DET,CWS,B,,,0,0,2024,-0.94,-0.08,-1.16,1.8,,,,2,9,Top,,,,,693307,,,-8.032289871730766,-115.80322835698584,-1.1088398213789108,-7.0078521064286345,21.569290707025445,-32.9435320943929,3.16,1.55,,,,79.4,2361,6.2,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.31,,,,,,,,64,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,318,0.0,0.015,,
FS,2024-09-28,81.8,3.12,5.47,"Guenther, Sean",642020,674944,field_out,hit_into_play,,,,,9,Chuckie Robinson flies out to center fielder Wenceel Pérez.,R,R,L,DET,CWS,X,8.0,fly_ball,0,1,2024,0.78,0.42,0.82,1.72,,,,1,9,Top,160.01,69.46,,,693307,,,-6.672463473260298,-119.07771775004647,-2.736179559344296,8.65178588253368,21.29628581702752,-27.818902717701448,3.43,1.66,332.0,90.5,28.0,81.9,964,6.2,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.31,0.086,0.126,0.0,1.0,0.0,0.0,3.0,63,2,Split-Finger,0,4,4,0,4,0,4,0,Standard,Standard,86,0.001,-0.138,74.45287,7.52385
SI,2024-09-28,89.7,2.84,5.62,"Guenther, Sean",642020,674944,,called_strike,,,,,14,Chuckie Robinson flies out to center fielder Wenceel Pérez.,R,R,L,DET,CWS,S,,,0,0,2024,1.18,0.32,0.84,2.36,,,,1,9,Top,,,,,693307,,,-7.4449883937791475,-130.38658421524124,-2.720602910758101,15.060504799471127,27.609475781347424,-28.166654271788538,3.16,1.57,,,,89.5,1991,6.3,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.24,,,,,,,,63,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,135,0.0,-0.023,,
SI,2024-09-28,89.3,2.8,5.61,"Guenther, Sean",666150,674944,field_out,hit_into_play,,,,,5,"Dominic Fletcher grounds out, second baseman Colt Keith to first baseman Spencer Torkelson.",R,L,L,DET,CWS,X,4.0,ground_ball,0,0,2024,1.4,0.36,0.06,2.12,,,,0,9,Top,144.18,152.08,,,693307,,,-9.659719684097176,-129.64654839377388,-3.30196817253725,17.781776453059422,27.659774691654427,-27.614029176501404,3.2,1.52,3.0,89.1,-36.0,89.1,2009,6.4,746414,674944,693307,679529,690993,690291,628451,669234,672761,656716,54.14,0.06,0.047,0.0,1.0,0.0,0.0,2.0,62,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,135,0.001,-0.227,70.37572,6.87173
SL,2024-09-25,79.1,3.01,5.47,"Guenther, Sean",664040,674944,field_out,hit_into_play,,,,,5,"Brandon Lowe grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,L,L,DET,TB,X,5.0,ground_ball,0,0,2024,-1.24,0.13,0.01,2.27,,,,1,5,Top,116.24,162.65,,,693307,,,-4.2322953153616165,-115.12255432704228,-0.3927188869170854,-10.195681500443516,22.58634795002304,-31.217166149746067,3.26,1.48,4.0,57.9,-29.0,78.9,2327,6.2,746420,674944,693307,679529,690993,663837,700242,682985,678009,672761,54.25,0.071,0.07,0.0,1.0,0.0,0.0,1.0,38,1,Slider,3,1,1,3,1,3,1,3,Standard,Standard,315,0.019,-0.161,78.33744,7.8825
