pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-09-28,84.4,-2.74,5.66,"Madden, Ty",682868,680744,field_out,hit_into_play,,,,,6,Bryan Ramos flies out to center fielder Parker Meadows.,R,R,R,DET,CWS,X,8.0,fly_ball,0,0,2024,0.1,0.11,0.37,2.64,,,,2,8,Top,120.98,63.15,,,693307,,,7.019135259971816,-122.75072721100877,-0.9043761950082936,-0.2992387352094933,22.80582258792594,-31.072330303741804,3.38,1.63,338.0,94.3,38.0,84.4,2380,6.2,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.31,0.086,0.091,0.0,1.0,0.0,0.0,3.0,58,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,103,0.002,-0.098,71.51824,8.9389
FF,2024-09-28,93.3,-2.37,5.85,"Madden, Ty",672820,680744,field_out,hit_into_play,,,,,5,Lenyn Sosa flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,X,9.0,fly_ball,0,0,2024,-0.69,1.28,0.22,2.33,,,,1,8,Top,211.06,103.37,,,693307,,,8.154411330746322,-135.5907470186808,-6.069665198842387,-10.346711962058604,29.49341612263631,-15.23467507599292,3.3,1.57,315.0,96.0,47.0,92.8,2185,6.1,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.42,0.003,0.006,0.0,1.0,0.0,0.0,3.0,57,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,210,0.002,-0.161,73.75322,7.4502
FF,2024-09-28,94.2,-2.26,5.86,"Madden, Ty",683734,680744,field_out,hit_into_play,,,,,3,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,X,9.0,fly_ball,3,2,2024,-0.53,1.31,0.38,2.97,,,,0,8,Top,148.77,102.52,,,693307,,,8.015830968344131,-136.97158059520632,-4.702734587090623,-8.478741169796933,29.760172970216097,-14.837553151759012,3.18,1.48,249.0,91.6,56.0,93.9,2134,6.1,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.36,0.014,0.019,0.0,1.0,0.0,0.0,3.0,56,7,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,214,0.003,-0.299,70.7828,7.8195
SL,2024-09-28,87.0,-2.57,5.57,"Madden, Ty",683734,680744,,ball,,,,,14,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,B,,,2,2,2024,0.39,-0.02,0.81,0.51,,,,0,8,Top,,,,,693307,,,7.291714144139355,-126.46273901887643,-5.955374402352184,2.8305326975243483,23.642312179040577,-31.42144193264052,3.13,1.55,,,,87.0,2638,6.2,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.34,,,,,,,,56,6,Slider,0,4,4,0,4,0,4,0,Standard,Standard,290,0.0,0.096,,
FF,2024-09-28,94.5,-2.3,5.8,"Madden, Ty",683734,680744,,foul,,,,,2,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,S,,,2,2,2024,-0.66,1.42,-0.08,2.74,,,,0,8,Top,,,,,693307,,,7.241871843246148,-137.51966109347276,-5.492407757466809,-9.937479533008482,28.09234667404685,-13.053081778711029,3.18,1.48,221.0,80.9,60.0,94.6,2261,6.1,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.36,,,,,,,,56,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,210,0.0,0.0,67.64469,7.1955
FF,2024-09-28,94.0,-2.38,5.84,"Madden, Ty",683734,680744,,foul,,,,,3,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,S,,,2,1,2024,-0.54,1.56,0.32,3.03,,,,0,8,Top,,,,,693307,,,8.151987177464475,-136.6524595989385,-4.9980734242173614,-8.541048200307294,29.235633624431465,-11.682279411442448,3.18,1.48,80.0,89.0,79.0,93.7,2208,6.1,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.4,,,,,,,,56,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,214,0.0,-0.061,73.12985,7.69025
FF,2024-09-28,89.9,-2.71,5.49,"Madden, Ty",683734,680744,,ball,,,,,14,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,B,,,1,1,2024,-0.5,0.64,1.1,0.52,,,,0,8,Top,,,,,693307,,,10.465730071733384,-130.46445100328393,-7.704101467344132,-7.734121160799122,24.746746443611613,-23.488635602741955,3.26,1.57,,,,90.0,2238,6.2,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.25,,,,,,,,56,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,212,0.0,0.047,,
SL,2024-09-28,86.1,-2.64,5.54,"Madden, Ty",683734,680744,,ball,,,,,14,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,B,,,0,1,2024,0.09,0.04,1.31,0.65,,,,0,8,Top,,,,,693307,,,9.18598950790715,-125.06549493744666,-5.412143191196422,-0.916969856870202,25.819199849730595,-30.826378661478792,3.26,1.55,,,,85.9,2573,6.3,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.22,,,,,,,,56,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,64,0.0,0.023,,
FF,2024-09-28,93.3,-2.45,5.75,"Madden, Ty",683734,680744,,called_strike,,,,,9,Andrew Vaughn flies out to right fielder Kerry Carpenter.,R,R,R,DET,CWS,S,,,0,0,2024,-0.59,1.35,0.69,1.5,,,,0,8,Top,,,,,693307,,,9.313708574639277,-135.43145200894932,-8.093355988028737,-9.238836280116354,29.36999805791238,-13.899468278737643,3.28,1.57,,,,92.9,2162,6.2,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.32,,,,,,,,56,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,211,0.0,-0.033,,
FC,2024-09-28,89.5,-2.96,5.39,"Madden, Ty",643217,680744,home_run,hit_into_play,,,,,5,Andrew Benintendi homers (20) on a fly ball to right center field.    Zach DeLoach scores.,R,L,R,DET,CWS,X,,fly_ball,2,2,2024,-0.07,0.79,0.0,2.65,,,676113.0,0,8,Top,200.98,71.71,,,693307,,,7.453548369093937,-130.29767675502944,-2.4924939104503507,-2.2675271234278607,24.66873710416046,-22.783080937649625,3.25,1.5,365.0,94.8,33.0,89.6,2254,6.1,746414,680744,693307,679529,690993,690291,656716,672761,678009,681481,54.43,0.117,0.207,2.0,1.0,0.0,3.0,3.0,55,5,Cutter,0,2,2,0,4,0,4,0,Standard,Standard,207,-0.08,1.601,70.30624,6.93692
