pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-27,97.7,-1.91,5.45,"Vest, Will",686676,676684,strikeout,swinging_strike,,,,,5,Korey Lee strikes out swinging.,R,R,R,DET,CWS,S,2.0,,1,2,2024,-0.71,1.22,0.18,2.54,,,,1,8,Top,,,,,668670,,,7.264655559806958,-142.09617211692478,-5.162205462870911,-11.25067983301427,31.38843160825965,-14.59047573501225,3.46,1.59,,,,97.5,2209.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.35,,0.0,0.0,1.0,0.0,0.0,,59,4,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,217.0,0.013,-0.115,70.10393,6.42108
FF,2024-09-27,96.8,-1.86,5.48,"Vest, Will",686676,676684,,called_strike,,,,,9,Korey Lee strikes out swinging.,R,R,R,DET,CWS,S,,,1,1,2024,-0.79,1.34,0.72,2.0,,,,1,8,Top,,,,,668670,,,8.647738864876349,-140.65008160217815,-6.805347822568334,-12.324133309589543,29.44371344552381,-12.96765661162016,3.46,1.57,,,,96.8,2164.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.32,,,,,,,,59,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,216.0,0.0,-0.039,,
SI,2024-09-27,95.7,-2.09,5.39,"Vest, Will",686676,676684,,called_strike,,,,,5,Korey Lee strikes out swinging.,R,R,R,DET,CWS,S,,,1,0,2024,-1.39,0.99,0.26,2.33,,,,1,8,Top,,,,,668670,,,9.304536855990516,-139.1487472232418,-4.776085935542955,-20.029267477376177,27.06692151466289,-18.367133625434167,3.46,1.57,,,,96.2,2200.0,6.3,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.2,,,,,,,,59,2,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,215.0,0.0,-0.032,,
FF,2024-09-27,96.6,-1.97,5.57,"Vest, Will",686676,676684,,ball,,,,,11,Korey Lee strikes out swinging.,R,R,R,DET,CWS,B,,,0,0,2024,-0.69,1.19,-0.35,3.79,,,,1,8,Top,,,,,668670,,,5.836658177469318,-140.644979923724,-1.95188374225974,-10.363946506459888,28.69129183056321,-16.02522868001646,3.53,1.44,,,,96.7,2232.0,6.1,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.42,,,,,,,,59,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,213.0,0.0,0.024,,
FF,2024-09-27,96.9,-1.89,5.51,"Vest, Will",682868,676684,strikeout,called_strike,,,,,6,Bryan Ramos called out on strikes.,R,R,R,DET,CWS,S,2.0,,1,2,2024,-0.89,1.3,0.71,2.33,,,,0,8,Top,,,,,668670,,,8.956491813235703,-140.847810909627,-5.916664285304808,-13.87437460772293,30.182686975305973,-13.6899717696999,3.38,1.57,,,,96.9,2153.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.27,,0.0,0.0,1.0,0.0,0.0,,58,4,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,217.0,0.021,-0.167,,
FF,2024-09-27,95.6,-1.84,5.56,"Vest, Will",682868,676684,,foul,,,,,7,Bryan Ramos called out on strikes.,R,R,R,DET,CWS,S,,,1,1,2024,-0.93,1.45,-0.3,1.99,,,,0,8,Top,,,,,668670,,,6.1427318582479495,-138.9037626028349,-7.018525126225696,-13.43868914074142,31.79025542345495,-12.024950223643213,3.38,1.63,245.0,79.9,30.0,95.3,2236.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.26,,,,,,,,58,3,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,210.0,0.0,-0.05,72.7787,7.9555
FF,2024-09-27,95.9,-1.89,5.62,"Vest, Will",682868,676684,,ball,,,,,12,Bryan Ramos called out on strikes.,R,R,R,DET,CWS,B,,,0,1,2024,-0.66,1.46,0.37,3.59,,,,0,8,Top,,,,,668670,,,7.42308330550752,-139.5022163142911,-3.051199409384475,-10.239603269866118,31.70274997893757,-12.607782534582636,3.43,1.64,,,,95.5,2332.0,6.1,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.39,,,,,,,,58,2,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,208.0,0.0,0.023,,
FF,2024-09-27,95.2,-1.9,5.58,"Vest, Will",682868,676684,,called_strike,,,,,6,Bryan Ramos called out on strikes.,R,R,R,DET,CWS,S,,,0,0,2024,-0.6,1.49,0.78,2.72,,,,0,8,Top,,,,,668670,,,8.368418453130241,-138.36075051324295,-5.1688974511644,-9.656436956421269,31.603896126903795,-12.05182058127711,3.35,1.62,,,,94.9,2255.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.29,,,,,,,,58,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,213.0,0.0,-0.033,,
SI,2024-09-27,95.3,-1.96,5.47,"Vest, Will",672820,676684,field_out,hit_into_play,,,,,2,"Lenyn Sosa grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,R,DET,CWS,X,5.0,ground_ball,0,1,2024,-1.16,0.73,-0.12,2.85,,,,2,7,Top,101.31,173.33,,,668670,,,7.424436013498213,-138.77565111718863,-2.952378030387521,-16.54905974518563,26.719316815856335,-22.239931624401077,3.31,1.57,2.0,57.3,-57.0,95.7,2093.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.34,0.231,0.203,0.0,1.0,0.0,0.0,1.0,50,2,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,216.0,0.02,-0.083,72.10455,7.27532
FF,2024-09-27,95.7,-1.91,5.53,"Vest, Will",672820,676684,,called_strike,,,,,3,"Lenyn Sosa grounds out, third baseman Matt Vierling to first baseman Spencer Torkelson.",R,R,R,DET,CWS,S,,,0,0,2024,-0.49,1.08,0.67,3.14,,,,2,7,Top,,,,,668670,,,7.8660343362667,-139.28098840922806,-3.1994524675877165,-7.980551978814266,27.991548726413487,-17.47964816748319,3.27,1.56,,,,96.0,2005.0,6.2,746417,676684,668670,679529,628451,663837,700242,682985,678009,672761,54.31,,,,,,,,50,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,216.0,0.0,-0.016,,
