"pitch_type","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
"FF",44.5,0.295,0.181,0.326,0.476,0.374,0.369,0.282,49,166,91.7,12.8,2340,93.6,93.77,67,345,432,0.20000000000000284,6.56,111,150,116,151,298,322,297,"-7.435","7.435","69.5","6.8",199,140,31,12,0,6,32,16.1,25,12.6,1.24386,1.37955,0.52889,-0.1554,"92.4",178,47.14285714285714,8.571428571428571,6.030150753768844,5.86,0.15,0.04,2.82,0.386,12,"0.956885457",0.382,0.456,"-0.956885457",0.013,0.0040000000000000036,0.02,0.005,19.4,"41.5"
"FF",41.8,0.214,0.11,0.267,0.324,0.309,0.352,0.247,31,145,90,21.3,2333,94.9,95.35,69,315,369,0.5,6.62,114,150,124,150,295,318,295,"7.983","-7.983","70.1","6.8",176,108,22,5,1,3,38,21.6,29,16.5,1.11053,1.43132,0.60699,-0.09126,"91.8",184,43.51851851851852,7.4074074074074066,4.545454545454546,5.91,-0.59,-0.05,2.74,0.347,8,"-1.167105263",0.378,0.409,"1.167105263",-0.033,-0.031000000000000028,-0.085,-0.043,21.9,"45.1"
"FF",41.3,0.19,0.129,0.235,0.319,0.283,0.31,0.214,22,116,89.3,17.4,2290,93.5,93.51,58,273,306,0,6.39,109,149,118,149,293,313,294,"8.09","-8.09","69.6","6.8",141,88,13,5,2,2,32,22.7,21,14.9,1.19927,1.42119,0.68356,-0.24197,"91.0",181,43.18181818181818,7.954545454545454,4.964539007092199,5.92,-0.17,-0.19,2.85,0.307,7,"-1.397236615",0.328,0.371,"1.397236615",-0.024,-0.02100000000000002,-0.052,-0.027,21.2,"40.8"
"FF",36.1,0.248,0.248,0.26,0.495,0.371,0.379,0.251,27,109,92.2,19.9,2278,93,92.78,75,273,306,-0.20000000000000284,6.26,111,148,116,146,299,331,297,"-6.259","6.259","69.3","6.8",136,84,15,4,1,7,29,21.3,19,14,1.34055,1.31073,0.65273,-0.11024,"91.7",201,44.047619047619044,15.476190476190476,9.558823529411764,5.8,-0.93,0.04,2.89,0.368,13,"1.081001727",0.375,0.507,"-1.081001727",-0.003,-0.007000000000000006,-0.012,-0.008,27.5,"37.3"
"FF",35.1,0.262,0.197,0.287,0.459,0.352,0.406,0.3,32,122,92.1,19.8,2277,93.9,94.17,63,294,268,0.29999999999999716,6.61,105,147,110,146,291,316,290,"0.008","-0.008","69.4","6.7",145,100,20,5,2,5,26,17.9,16,11,1.33781,1.26877,0.88569,-0.35585,"92.2",201,55.00000000000001,11,7.586206896551724,5.61,-0.05,-0.04,2.82,0.354,11,"-0.001423488",0.391,0.562,"0.001423488",-0.038,-0.03700000000000003,-0.103,-0.054,21.4,"36.6"
"FF",39.6,0.274,0.137,0.315,0.411,0.324,0.309,0.243,34,124,89.3,21.9,2209,93.7,94.23,56,281,263,0.5,6.78,109,147,118,148,298,325,287,"4.837","-4.837","70.5","6.9",138,98,27,2,0,5,29,21,8,5.8,1.30607,1.31346,0.74452,0.13162,"91.8",180,50,7.142857142857142,5.072463768115942,5.71,-2.01,0.05,2.88,0.328,7,"-0.889154412",0.301,0.411,"0.889154412",0.031,0.027000000000000024,0,0.015,19.9,"36.0"
"FF",40.7,0.262,0.117,0.281,0.379,0.342,0.363,0.269,27,103,89.4,21.3,2228,93.7,94.45,48,244,296,0.7999999999999972,6.83,110,149,121,147,306,320,307,"0.688","-0.688","69.3","6.7",127,92,20,4,1,2,14,11,18,14.2,1.28565,1.32919,0.7047,0.04237,"91.3",189,38.04347826086957,6.521739130434782,4.724409448818897,5.73,-1.71,-0.02,2.91,0.381,6,"-0.127407407",0.392,0.409,"0.127407407",-0.007,-0.01100000000000001,-0.03,-0.021,19.7,"39.4"
"FF",37.1,0.34,0.233,0.36,0.573,0.444,0.438,0.319,35,103,92,16.9,2271,93.7,94.47,48,247,264,0.7999999999999972,6.75,111,148,117,150,302,321,300,"-11.845","11.845","69.1","6.7",128,90,20,10,1,4,14,10.9,23,18,1.22092,1.38247,0.53285,-0.12448,"92.4",186,52.22222222222223,12.222222222222221,8.59375,5.85,-0.42,0.07,2.87,0.461,11,"2.318003914",0.448,0.57,"-2.318003914",0.021,0.013000000000000012,0.003,0.006,19.4,"44.3"
"FF",35.1,0.247,0.28,0.254,0.527,0.365,0.379,0.272,23,93,91.3,20.8,2325,93.8,93.67,51,248,259,-0.09999999999999432,6.48,111,150,116,149,292,327,303,"-0.5","0.5","70.1","6.7",106,73,10,6,1,6,21,19.8,12,11.3,1.18846,1.43091,0.69533,-0.14913,"91.7",197,47.94520547945205,15.068493150684931,10.377358490566039,5.79,-1.72,0,2.93,0.33,11,"0.098619329",0.352,0.542,"-0.098619329",-0.025,-0.021999999999999964,-0.015,-0.014,20.6,"38.1"
"FF",32.9,0.177,0.135,0.206,0.313,0.279,0.299,0.205,17,96,92.9,23.1,2363,93.5,93.4,64,246,256,-0.09999999999999432,6.56,118,149,123,150,299,324,302,"3.443","-3.443","68.4","6.6",113,68,12,1,0,4,29,25.7,15,13.3,1.09237,1.55811,0.54157,-0.11265,"92.2",188,52.94117647058824,7.352941176470589,4.424778761061947,5.94,-0.65,-0.06,3.16,0.295,5,"-0.685856574",0.32,0.343,"0.685856574",-0.028,-0.025000000000000022,-0.03,-0.02,26,"45.9"
